timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-15,21.0,20.945,20.475,20.475,20.475,275419,0.0,1.0
2019-07-12,20.89,21.025,20.855,20.96,20.96,1074513,0.0,1.0
2019-07-11,20.84,20.95,20.6,20.78,20.78,1681130,0.0,1.0
2019-07-10,21.23,21.33,20.77,20.78,20.78,1112063,0.0,1.0
2019-07-09,21.08,21.32,21.08,21.22,21.22,698117,0.0,1.0
2019-07-08,21.29,21.37,21.155,21.27,21.27,1147960,0.0,1.0
2019-07-05,21.36,21.57,21.31,21.44,21.44,636691,0.0,1.0
2019-07-03,21.01,21.23,20.92,21.23,21.23,596055,0.0,1.0
2019-07-02,21.08,21.15,20.695,20.89,20.89,932957,0.0,1.0
2019-07-01,21.3,21.46,21.0,21.18,21.18,1436126,0.0,1.0
2019-06-28,21.08,21.29,20.81,21.14,21.14,2175580,0.0,1.0
2019-06-27,20.68,20.905,20.68,20.81,20.81,1496430,0.0,1.0
2019-06-26,20.6,20.895,20.55,20.56,20.56,1276806,0.0,1.0
2019-06-25,20.55,20.55,20.23,20.5,20.5,1207166,0.0,1.0
2019-06-24,20.81,21.08,20.62,20.62,20.62,823014,0.0,1.0
2019-06-21,20.85,21.0,20.815,20.87,20.87,1707516,0.0,1.0
2019-06-20,20.86,21.055,20.58,20.9,20.9,1327159,0.0,1.0
2019-06-19,20.91,21.02,20.68,20.76,20.76,1709324,0.0,1.0
2019-06-18,20.52,21.195,20.52,20.86,20.86,1165045,0.0,1.0
2019-06-17,21.0,21.0305,20.525,20.58,20.58,887964,0.0,1.0
2019-06-14,21.07,21.07,20.705,20.96,20.96,511876,0.0,1.0
2019-06-13,21.04,21.2,20.94,21.03,21.03,536553,0.0,1.0
2019-06-12,20.89,21.05,20.72,20.99,20.99,1219458,0.0,1.0
2019-06-11,21.08,21.19,20.89,20.93,20.93,913928,0.0,1.0
2019-06-10,20.83,21.09,20.76,20.96,20.96,743270,0.0,1.0
2019-06-07,20.65,20.77,20.49,20.67,20.67,687803,0.0,1.0
2019-06-06,20.67,20.79,20.48,20.7,20.7,952200,0.0,1.0
2019-06-05,20.79,20.87,20.47,20.71,20.71,1183955,0.0,1.0
2019-06-04,20.5,20.88,20.39,20.81,20.81,1372800,0.0,1.0
2019-06-03,19.74,20.34,19.69,20.2,20.2,1413976,0.0,1.0
2019-05-31,19.93,20.03,19.71,19.81,19.81,1360357,0.17,1.0
2019-05-30,20.8,21.01,20.14,20.31,20.1372,796227,0.0,1.0
2019-05-29,20.62,20.87,20.43,20.8,20.623,923888,0.0,1.0
2019-05-28,21.02,21.12,20.75,20.79,20.6131,776864,0.0,1.0
2019-05-24,20.84,21.15,20.795,21.13,20.9502,1016196,0.0,1.0
2019-05-23,21.21,21.2827,20.61,20.76,20.5834,1191779,0.0,1.0
2019-05-22,21.84,21.935,21.41,21.47,21.2873,868308,0.0,1.0
2019-05-21,22.04,22.17,21.85,21.88,21.6938,1070355,0.0,1.0
2019-05-20,21.9,22.145,21.89,22.01,21.8227,704404,0.0,1.0
2019-05-17,22.05,22.32,21.9,21.93,21.7434,758646,0.0,1.0
2019-05-16,22.15,22.29,22.09,22.26,22.0706,968482,0.0,1.0
2019-05-15,21.94,22.15,21.68,22.01,21.8227,1264775,0.0,1.0
2019-05-14,21.93,22.27,21.85,22.19,22.0012,984155,0.0,1.0
2019-05-13,22.24,22.37,21.89,21.94,21.7533,1138606,0.0,1.0
2019-05-10,22.55,22.82,22.33,22.71,22.5168,1195059,0.0,1.0
2019-05-09,22.53,22.83,22.31,22.72,22.5267,1017579,0.0,1.0
2019-05-08,22.76,23.03,22.645,22.68,22.487,921609,0.0,1.0
2019-05-07,22.92,23.02,22.8,22.92,22.725,1352060,0.0,1.0
2019-05-06,22.74,23.26,22.7,23.15,22.953,1236810,0.0,1.0
2019-05-03,22.99,23.18,22.86,23.09,22.8935,851559,0.0,1.0
2019-05-02,22.51,22.81,22.51,22.8,22.606,1101740,0.0,1.0
2019-05-01,22.67,22.84,22.28,22.5,22.3086,1021750,0.0,1.0
2019-04-30,22.89,22.96,22.59,22.69,22.4969,833109,0.0,1.0
2019-04-29,22.32,23.015,22.32,22.82,22.6258,1395417,0.0,1.0
2019-04-26,21.98,22.4,21.86,22.33,22.14,1066660,0.0,1.0
2019-04-25,22.22,22.24,21.91,22.23,22.0409,1265903,0.0,1.0
2019-04-24,22.55,22.57,22.325,22.4,22.2094,824300,0.0,1.0
2019-04-23,22.11,22.68,22.06,22.67,22.4771,2553936,0.0,1.0
2019-04-22,22.18,22.21,21.99,22.12,21.9318,834737,0.0,1.0
2019-04-18,22.62,22.63,22.18,22.25,22.0607,1333749,0.0,1.0
2019-04-17,22.75,22.77,22.47,22.67,22.4771,838211,0.0,1.0
2019-04-16,22.36,22.745,22.26,22.68,22.487,675160,0.0,1.0
2019-04-15,22.8,22.91,22.28,22.34,22.1499,703147,0.0,1.0
2019-04-12,22.69,22.91,22.39,22.81,22.6159,737938,0.0,1.0
2019-04-11,22.29,22.475,22.18,22.41,22.2193,1435557,0.0,1.0
2019-04-10,21.96,22.2,21.75,22.17,21.9814,639890,0.0,1.0
2019-04-09,22.2,22.26,21.9,21.96,21.7732,704932,0.0,1.0
2019-04-08,22.27,22.52,22.225,22.33,22.14,547124,0.0,1.0
2019-04-05,22.34,22.49,22.195,22.38,22.1896,650263,0.0,1.0
2019-04-04,22.14,22.4,22.07,22.33,22.14,947418,0.0,1.0
2019-04-03,22.34,22.5,22.02,22.1,21.912,1302564,0.0,1.0
2019-04-02,21.87,22.21,21.77,22.08,21.8921,876119,0.0,1.0
2019-04-01,21.58,22.035,21.53,22.03,21.8426,1016477,0.0,1.0
2019-03-29,21.5,21.57,21.23,21.35,21.1683,1027677,0.0,1.0
2019-03-28,21.2,21.3,20.94,21.29,21.1089,773479,0.0,1.0
2019-03-27,21.05,21.23,20.86,21.12,20.9403,857749,0.0,1.0
2019-03-26,20.78,21.1,20.75,21.09,20.9106,965832,0.0,1.0
2019-03-25,20.67,20.89,20.51,20.65,20.4743,1139577,0.0,1.0
2019-03-22,21.5,21.58,20.61,20.66,20.4842,1266158,0.0,1.0
2019-03-21,21.61,21.97,21.47,21.74,21.555,1341067,0.0,1.0
2019-03-20,22.64,22.81,21.78,21.82,21.6343,1249971,0.0,1.0
2019-03-19,23.61,23.61,22.68,22.72,22.5267,1235580,0.0,1.0
2019-03-18,23.26,23.48,23.2,23.46,23.2604,1022865,0.0,1.0
2019-03-15,23.19,23.41,23.13,23.18,22.9828,2372105,0.0,1.0
2019-03-14,22.97,23.2099,22.95,23.16,22.9629,773593,0.0,1.0
2019-03-13,22.92,23.105,22.86,22.99,22.7944,1348020,0.0,1.0
2019-03-12,22.81,23.04,22.7,22.85,22.6556,1070870,0.0,1.0
2019-03-11,22.7,22.93,22.515,22.83,22.6358,1337256,0.0,1.0
2019-03-08,22.1,22.67,22.09,22.57,22.378,1416210,0.0,1.0
2019-03-07,22.44,22.56,22.19,22.31,22.1202,899864,0.0,1.0
2019-03-06,23.06,23.2,22.58,22.59,22.3978,1011299,0.0,1.0
2019-03-05,23.14,23.24,22.84,23.14,22.9431,618243,0.0,1.0
2019-03-04,23.46,23.535,23.015,23.17,22.9729,617066,0.0,1.0
2019-03-01,23.41,23.58,23.24,23.45,23.2505,958424,0.0,1.0
2019-02-28,23.37,23.38,23.23,23.28,23.0819,851901,0.17,1.0
2019-02-27,23.29,23.55,23.14,23.49,23.1213,539979,0.0,1.0
2019-02-26,23.5,23.67,23.24,23.24,22.8752,753363,0.0,1.0
2019-02-25,23.79,23.835,23.56,23.6,23.2296,1002052,0.0,1.0
2019-02-22,23.51,23.77,23.47,23.66,23.2886,846559,0.0,1.0
2019-02-21,23.71,23.71,23.355,23.52,23.1508,916103,0.0,1.0
