timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-15,26.77,26.81,26.28,26.34,26.34,33145,0.0,1.0
2019-07-12,26.83,26.985,26.6,26.76,26.76,356216,0.0,1.0
2019-07-11,26.8,26.84,26.49,26.75,26.75,359238,0.0,1.0
2019-07-10,26.99,27.01,26.686,26.76,26.76,454135,0.0,1.0
2019-07-09,26.53,26.97,26.46,26.89,26.89,195137,0.0,1.0
2019-07-08,26.89,26.964,26.56,26.72,26.72,241037,0.0,1.0
2019-07-05,26.63,27.06,26.46,26.99,26.99,257210,0.0,1.0
2019-07-03,26.5,27.03,26.38,26.47,26.47,208719,0.0,1.0
2019-07-02,26.87,27.015,26.27,26.49,26.49,270956,0.0,1.0
2019-07-01,27.5,27.68,26.75,27.01,27.01,328264,0.0,1.0
2019-06-28,27.32,27.76,27.06,27.25,27.25,1150640,0.0,1.0
2019-06-27,26.26,27.16,26.26,26.93,26.93,373243,0.0,1.0
2019-06-26,25.93,26.34,25.67,26.13,26.13,338619,0.0,1.0
2019-06-25,25.73,26.1,25.11,25.78,25.78,434998,0.0,1.0
2019-06-24,26.09,26.29,25.6766,25.75,25.75,467498,0.0,1.0
2019-06-21,26.86,27.19,26.01,26.1,26.1,843024,0.0,1.0
2019-06-20,28.37,28.37,27.15,27.33,27.33,442406,0.0,1.0
2019-06-19,28.16,28.505,28.0,28.09,28.09,221614,0.0,1.0
2019-06-18,27.74,28.56,27.73,28.1,28.1,240444,0.0,1.0
2019-06-17,28.08,28.12,27.56,27.62,27.62,259339,0.0,1.0
2019-06-14,28.4,28.41,27.89,28.06,28.06,215291,0.0,1.0
2019-06-13,28.42,28.7732,28.24,28.42,28.42,176860,0.0,1.0
2019-06-12,28.26,28.46,27.98,28.27,28.27,132086,0.0,1.0
2019-06-11,28.61,28.82,28.15,28.37,28.37,178596,0.0,1.0
2019-06-10,28.53,29.0,28.32,28.39,28.39,197584,0.0,1.0
2019-06-07,28.5,28.65,28.24,28.46,28.46,200453,0.0,1.0
2019-06-06,28.52,28.6,28.15,28.38,28.38,295702,0.0,1.0
2019-06-05,28.13,28.965,28.05,28.51,28.51,332880,0.0,1.0
2019-06-04,27.5,28.28,27.09,28.23,28.23,305900,0.0,1.0
2019-06-03,27.36,27.68,26.82,27.05,27.05,448435,0.0,1.0
2019-05-31,27.4,27.4,27.05,27.31,27.31,300265,0.0,1.0
2019-05-30,28.31,28.62,27.59,27.81,27.81,261493,0.0,1.0
2019-05-29,27.94,28.19,27.39,28.14,28.14,408718,0.0,1.0
