timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-15,31.62,31.43,30.91,31.06,31.06,17518,0.0,1.0
2019-07-12,31.27,31.72,30.91,31.6,31.6,274230,0.0,1.0
2019-07-11,30.88,31.0,30.43,30.83,30.83,142744,0.0,1.0
2019-07-10,31.38,31.38,30.7662,30.89,30.89,142160,0.0,1.0
2019-07-09,30.86,31.4,30.8,31.22,31.22,217272,0.0,1.0
2019-07-08,31.28,31.36,31.0,31.04,31.04,306345,0.0,1.0
2019-07-05,30.9,31.525,30.9,31.47,31.47,211579,0.0,1.0
2019-07-03,30.26,30.74,30.035,30.73,30.73,122879,0.0,1.0
2019-07-02,30.36,30.665,29.81,30.17,30.17,251225,0.0,1.0
2019-07-01,31.36,31.66,30.7,30.98,30.98,278227,0.0,1.0
2019-06-28,30.36,31.6,30.04,31.39,31.39,794802,0.0,1.0
2019-06-27,30.02,30.38,29.83,30.0,30.0,640261,0.0,1.0
2019-06-26,29.92,30.41,29.77,30.02,30.02,355776,0.0,1.0
2019-06-25,29.67,29.955,29.37,29.78,29.78,396437,0.0,1.0
2019-06-24,29.92,30.16,29.66,29.66,29.66,274847,0.0,1.0
2019-06-21,30.23,30.42,29.89,29.99,29.99,476011,0.0,1.0
2019-06-20,30.76,30.76,30.0,30.43,30.43,155746,0.0,1.0
2019-06-19,30.66,30.98,30.53,30.58,30.58,229489,0.0,1.0
2019-06-18,30.21,30.79,29.98,30.55,30.55,181535,0.0,1.0
2019-06-17,30.25,30.34,29.99,30.08,30.08,219993,0.0,1.0
2019-06-14,30.47,30.47,29.97,30.23,30.23,131143,0.0,1.0
2019-06-13,30.22,30.65,30.17,30.49,30.49,226497,0.0,1.0
2019-06-12,30.16,30.35,29.88,30.05,30.05,219873,0.0,1.0
2019-06-11,30.89,31.07,30.35,30.61,30.61,234912,0.0,1.0
2019-06-10,30.57,31.09,30.475,30.7,30.7,213684,0.0,1.0
2019-06-07,30.37,30.78,30.36,30.46,30.46,125699,0.0,1.0
2019-06-06,30.66,30.72,30.2,30.53,30.53,143933,0.0,1.0
2019-06-05,30.7,30.85,30.235,30.64,30.64,227242,0.0,1.0
2019-06-04,29.86,30.74,29.78,30.71,30.71,293303,0.0,1.0
2019-06-03,29.16,29.72,29.08,29.5,29.5,282488,0.0,1.0
2019-05-31,29.28,29.415,28.915,29.19,29.19,307837,0.0,1.0
2019-05-30,30.16,30.18,29.35,29.58,29.58,215042,0.0,1.0
2019-05-29,29.45,30.15,29.24,30.05,30.05,215368,0.0,1.0
2019-05-28,29.95,30.01,29.52,29.65,29.65,240130,0.0,1.0
2019-05-24,29.8,30.13,29.71,30.05,30.05,248068,0.0,1.0
2019-05-23,30.25,30.41,29.34,29.67,29.67,525806,0.0,1.0
2019-05-22,30.7,30.77,30.375,30.54,30.54,256698,0.0,1.0
2019-05-21,31.01,31.09,30.7,30.83,30.83,268161,0.0,1.0
2019-05-20,30.61,31.3,30.56,30.85,30.85,447994,0.0,1.0
2019-05-17,30.25,31.11,30.14,30.89,30.89,1583752,0.0,1.0
2019-05-16,30.35,30.715,30.14,30.56,30.56,312390,0.0,1.0
2019-05-15,30.01,30.35,29.8,30.2,30.2,462520,0.0,1.0
2019-05-14,29.5,29.97,29.3,29.91,29.91,138498,0.0,1.0
2019-05-13,29.81,29.86,29.34,29.41,29.41,321065,0.0,1.0
2019-05-10,30.11,30.32,30.025,30.29,30.29,242385,0.0,1.0
2019-05-09,29.63,30.25,29.575,30.2,30.2,169939,0.0,1.0
2019-05-08,29.5,30.16,29.4,29.91,29.91,208774,0.23,1.0
2019-05-07,30.04,30.22,29.43,29.69,29.4634,351066,0.0,1.0
2019-05-06,29.98,30.41,29.82,30.35,30.1184,196723,0.0,1.0
2019-05-03,30.22,30.57,29.945,30.42,30.1879,494122,0.0,1.0
2019-05-02,29.81,30.4,29.81,30.01,29.781,241130,0.0,1.0
2019-05-01,30.01,30.3,29.39,29.82,29.5924,661417,0.0,1.0
2019-04-30,31.04,31.04,29.95,29.99,29.7611,498142,0.0,1.0
2019-04-29,29.98,30.59,29.94,30.43,30.1978,393055,0.0,1.0
2019-04-26,29.43,29.93,29.4235,29.89,29.6619,153402,0.0,1.0
2019-04-25,29.52,29.55,28.95,29.43,29.2054,235032,0.0,1.0
2019-04-24,29.5,29.91,29.285,29.7,29.4734,122555,0.0,1.0
2019-04-23,28.76,29.53,28.72,29.5,29.2749,121634,0.0,1.0
2019-04-22,29.16,29.23,28.66,28.83,28.61,105774,0.0,1.0
2019-04-18,29.63,29.72,29.18,29.29,29.0665,191694,0.0,1.0
2019-04-17,29.69,29.93,29.37,29.78,29.5527,171579,0.0,1.0
2019-04-16,29.03,29.55,28.83,29.53,29.3047,202187,0.0,1.0
2019-04-15,29.75,29.78,28.91,28.97,28.7489,134140,0.0,1.0
2019-04-12,29.48,29.82,29.09,29.76,29.5329,194882,0.0,1.0
2019-04-11,28.82,29.13,28.82,29.08,28.8581,135764,0.0,1.0
2019-04-10,28.49,28.85,28.25,28.82,28.6001,178673,0.0,1.0
2019-04-09,28.87,29.0,28.43,28.48,28.2627,187663,0.0,1.0
2019-04-08,29.24,29.43,28.82,29.09,28.868,178599,0.0,1.0
2019-04-05,28.94,29.495,28.67,29.37,29.1459,707554,0.0,1.0
2019-04-04,27.66,28.86,27.66,28.86,28.6398,305205,0.0,1.0
2019-04-03,28.11,28.42,27.74,27.85,27.6375,249518,0.0,1.0
2019-04-02,27.9,28.11,27.695,27.77,27.5581,228761,0.0,1.0
2019-04-01,27.48,28.06,27.35,27.92,27.7069,263702,0.0,1.0
2019-03-29,27.77,27.9,27.14,27.24,27.0321,468786,0.0,1.0
2019-03-28,27.33,27.76,27.19,27.62,27.4092,355129,0.0,1.0
2019-03-27,27.16,27.52,27.13,27.29,27.0817,319256,0.0,1.0
2019-03-26,26.52,27.32,26.4,27.31,27.1016,440958,0.0,1.0
2019-03-25,26.51,26.79,26.21,26.35,26.1489,389956,0.0,1.0
2019-03-22,27.75,27.88,26.48,26.65,26.4466,405340,0.0,1.0
2019-03-21,28.73,28.88,28.03,28.06,27.8459,315176,0.0,1.0
2019-03-20,29.65,29.72,28.775,28.94,28.7192,430210,0.0,1.0
2019-03-19,30.72,30.73,29.7,29.8,29.5726,187125,0.0,1.0
2019-03-18,30.53,31.05,30.46,30.54,30.3069,219246,0.0,1.0
2019-03-15,30.54,30.85,30.445,30.56,30.3268,535287,0.0,1.0
2019-03-14,30.38,30.71,30.37,30.56,30.3268,169887,0.0,1.0
2019-03-13,30.5,30.7,30.36,30.39,30.1581,185472,0.0,1.0
2019-03-12,30.46,30.56,30.14,30.39,30.1581,149138,0.0,1.0
2019-03-11,30.29,30.54,30.05,30.34,30.1085,230356,0.0,1.0
2019-03-08,29.88,30.31,29.82,30.28,30.0489,275106,0.0,1.0
