timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-15,43.6,43.6,42.97,43.07,43.07,607793,0.0,1.0
2019-07-12,43.78,43.88,43.145,43.56,43.56,3290175,0.0,1.0
2019-07-11,43.16,43.74,43.015,43.65,43.65,3951751,0.0,1.0
2019-07-10,43.46,43.485,42.92,43.04,43.04,3804788,0.0,1.0
2019-07-09,42.63,43.42,42.46,43.4,43.4,4179803,0.0,1.0
2019-07-08,43.85,44.01,42.82,43.03,43.03,6209478,0.0,1.0
2019-07-05,44.86,45.12,44.16,44.53,44.53,3527884,0.0,1.0
2019-07-03,44.31,44.655,43.955,44.64,44.64,2714136,0.0,1.0
2019-07-02,44.47,44.74,44.055,44.23,44.23,5205754,0.0,1.0
2019-07-01,44.92,44.9744,44.215,44.47,44.47,4124833,0.0,1.0
2019-06-28,44.0,44.56,43.77,44.15,44.15,7683523,0.0,1.0
2019-06-27,43.26,43.775,43.145,43.39,43.39,3024970,0.0,1.0
2019-06-26,43.48,43.58,42.9,43.12,43.12,5682564,0.0,1.0
2019-06-25,43.08,43.53,42.66,43.43,43.43,5941385,0.0,1.0
2019-06-24,43.32,44.02,42.97,43.08,43.08,4117841,0.0,1.0
2019-06-21,43.31,44.061,43.1,43.41,43.41,8578631,0.0,1.0
2019-06-20,42.68,43.19,42.125,43.12,43.12,11226677,0.0,1.0
2019-06-19,43.5,43.5,42.43,42.69,42.69,14111792,0.0,1.0
2019-06-18,43.56,44.21,43.175,43.24,43.24,10901943,0.0,1.0
2019-06-17,44.51,44.56,43.9,43.95,43.95,2516569,0.0,1.0
2019-06-14,44.55,44.7,44.04,44.49,44.49,2842179,0.0,1.0
2019-06-13,44.25,44.735,44.1101,44.53,44.53,2573119,0.0,1.0
2019-06-12,44.5,44.665,43.99,44.1,44.1,4257438,0.0,1.0
2019-06-11,45.14,45.34,44.15,44.5,44.5,5493881,0.0,1.0
2019-06-10,44.85,45.34,44.54,44.9,44.9,4970270,0.0,1.0
2019-06-07,43.78,44.73,43.75,44.4,44.4,4644706,0.0,1.0
2019-06-06,43.58,43.975,43.155,43.82,43.82,3587400,0.0,1.0
2019-06-05,44.2,44.37,43.43,43.61,43.61,3570776,0.0,1.0
2019-06-04,43.65,44.33,43.425,44.29,44.29,4339686,0.0,1.0
2019-06-03,42.69,43.255,42.5,43.05,43.05,6694537,0.0,1.0
2019-05-31,42.5801,43.045,42.43,42.69,42.69,6760041,0.0,1.0
2019-05-30,44.03,44.14,42.905,43.25,43.25,5268548,0.0,1.0
2019-05-29,43.85,44.15,43.3,44.06,44.06,6047246,0.0,1.0
2019-05-28,45.04,45.14,44.32,44.33,44.33,8718931,0.0,1.0
2019-05-24,45.38,45.38,44.98,45.16,45.16,4366301,0.0,1.0
2019-05-23,45.88,45.93,45.0,45.24,45.24,6228615,0.0,1.0
2019-05-22,46.08,46.21,45.88,46.16,46.16,3232087,0.0,1.0
2019-05-21,46.14,46.4,46.1,46.21,46.21,3595588,0.0,1.0
2019-05-20,46.09,46.31,45.765,45.97,45.97,3067593,0.0,1.0
2019-05-17,46.11,46.775,46.02,46.08,46.08,3497530,0.0,1.0
2019-05-16,46.57,46.96,46.46,46.54,46.54,3173330,0.0,1.0
2019-05-15,46.55,46.7552,46.13,46.51,46.51,3306737,0.0,1.0
2019-05-14,47.15,47.355,46.73,47.01,47.01,3942903,0.0,1.0
2019-05-13,47.29,47.81,46.93,47.15,47.15,4658071,0.0,1.0
2019-05-10,47.67,48.2424,47.18,48.1,48.1,3987670,0.0,1.0
2019-05-09,47.53,47.87,47.19,47.78,47.78,3113576,0.0,1.0
2019-05-08,47.99,48.575,47.84,48.05,48.05,3959311,0.0,1.0
2019-05-07,48.74,48.93,47.84,48.14,48.14,4235890,0.0,1.0
2019-05-06,49.07,49.505,48.54,49.33,49.33,3165728,0.0,1.0
2019-05-03,49.93,50.28,49.8,49.97,49.97,4360951,0.0,1.0
2019-05-02,49.55,50.41,49.33,49.83,49.83,5597865,0.0,1.0
2019-05-01,49.7,50.27,49.35,49.43,49.43,6205035,0.0,1.0
2019-04-30,49.49,49.78,48.98,49.66,49.66,6349509,0.0,1.0
2019-04-29,48.3,49.94,48.27,49.38,49.38,5983755,0.0,1.0
2019-04-26,48.19,48.4599,47.51,48.43,48.43,5431462,0.28,1.0
