timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-15,32.86,32.69,32.16,32.245,32.245,324813,0.0,1.0
2019-07-12,32.57,32.82,32.35,32.69,32.69,654613,0.0,1.0
2019-07-11,32.27,32.48,32.01,32.38,32.38,740443,0.21,1.0
2019-07-10,32.98,32.99,32.25,32.36,32.1515,744743,0.0,1.0
2019-07-09,32.92,33.26,32.81,33.12,32.9066,406793,0.0,1.0
2019-07-08,33.51,33.52,33.21,33.32,33.1053,454779,0.0,1.0
2019-07-05,33.51,33.88,33.4,33.67,33.453,321626,0.0,1.0
2019-07-03,33.15,33.37,33.02,33.29,33.0755,217550,0.0,1.0
2019-07-02,33.49,33.69,32.92,33.09,32.8768,515084,0.0,1.0
2019-07-01,34.0,34.28,33.53,33.76,33.5425,446207,0.0,1.0
2019-06-28,33.41,33.82,33.2,33.74,33.5226,1038794,0.0,1.0
2019-06-27,32.77,33.3905,32.77,33.17,32.9563,624906,0.0,1.0
2019-06-26,33.04,33.36,32.78,32.78,32.5688,712926,0.0,1.0
2019-06-25,32.69,33.22,32.36,33.08,32.8668,751914,0.0,1.0
2019-06-24,33.05,33.42,32.7,32.72,32.5092,479789,0.0,1.0
2019-06-21,32.87,33.37,32.86,33.07,32.8569,1204026,0.0,1.0
2019-06-20,32.97,32.97,32.36,32.91,32.6979,584741,0.0,1.0
2019-06-19,33.02,33.52,32.74,32.77,32.5588,934086,0.0,1.0
2019-06-18,32.6,33.13,32.45,32.96,32.7476,792150,0.0,1.0
2019-06-17,33.09,33.41,32.49,32.6,32.3899,566459,0.0,1.0
2019-06-14,33.26,33.28,32.76,33.15,32.9364,733041,0.0,1.0
2019-06-13,33.38,33.77,33.12,33.24,33.0258,534189,0.0,1.0
2019-06-12,33.42,33.69,33.05,33.25,33.0357,882995,0.0,1.0
2019-06-11,33.62,33.94,33.25,33.5,33.2841,490115,0.0,1.0
2019-06-10,33.57,33.97,33.48,33.48,33.2643,448359,0.0,1.0
2019-06-07,33.27,33.45,33.0,33.18,32.9662,727107,0.0,1.0
2019-06-06,33.83,33.92,33.24,33.49,33.2742,724981,0.0,1.0
2019-06-05,34.28,34.29,33.71,33.82,33.6021,421464,0.0,1.0
2019-06-04,33.4,34.33,33.32,34.3,34.079,816388,0.0,1.0
2019-06-03,32.46,33.2,32.46,32.91,32.6979,770369,0.0,1.0
2019-05-31,32.67,32.89,32.43,32.48,32.2707,639641,0.0,1.0
2019-05-30,33.75,34.07,32.98,33.16,32.9463,373870,0.0,1.0
2019-05-29,32.98,33.87,32.63,33.75,33.5325,712669,0.0,1.0
2019-05-28,33.8,33.93,33.48,33.48,33.2643,591979,0.0,1.0
2019-05-24,33.73,34.0,33.65,33.91,33.6915,915473,0.0,1.0
2019-05-23,33.56,33.7,33.23,33.5,33.2841,730294,0.0,1.0
2019-05-22,34.33,34.39,33.83,33.97,33.7511,582959,0.0,1.0
2019-05-21,34.42,34.6357,34.29,34.43,34.2081,637349,0.0,1.0
2019-05-20,34.03,34.4,34.03,34.23,34.0094,367049,0.0,1.0
2019-05-17,34.14,34.61,34.0656,34.17,33.9498,350259,0.0,1.0
2019-05-16,34.44,34.85,34.415,34.46,34.238,565059,0.0,1.0
2019-05-15,34.71,34.805,33.99,34.23,34.0094,535506,0.0,1.0
2019-05-14,34.13,34.94,34.0,34.71,34.4863,1427894,0.0,1.0
2019-05-13,34.96,35.05,34.03,34.11,33.8902,672224,0.0,1.0
2019-05-10,35.48,35.77,35.14,35.5,35.2712,505250,0.0,1.0
2019-05-09,35.52,35.855,35.2,35.77,35.5395,527996,0.0,1.0
2019-05-08,36.29,36.53,35.87,35.87,35.6389,466083,0.0,1.0
2019-05-07,36.27,36.77,36.15,36.42,36.1853,840228,0.0,1.0
2019-05-06,36.05,36.88,36.05,36.74,36.5033,801095,0.0,1.0
2019-05-03,36.64,36.78,36.29,36.59,36.3542,969457,0.0,1.0
2019-05-02,36.14,36.6,36.14,36.45,36.2151,480852,0.0,1.0
2019-05-01,36.48,36.91,35.885,36.12,35.8873,809518,0.0,1.0
2019-04-30,36.65,36.69,36.23,36.58,36.3443,595725,0.0,1.0
2019-04-29,36.18,36.675,36.18,36.5,36.2648,721535,0.0,1.0
2019-04-26,35.37,36.36,35.12,36.2,35.9667,1221540,0.0,1.0
2019-04-25,36.82,36.91,36.07,36.1,35.8674,797030,0.0,1.0
2019-04-24,35.24,37.1238,35.24,36.47,36.235,1757744,0.0,1.0
2019-04-23,34.88,35.73,34.65,35.73,35.4998,1570492,0.0,1.0
2019-04-22,35.35,35.37,34.9,34.98,34.7546,296416,0.0,1.0
2019-04-18,35.91,35.91,35.29,35.35,35.1222,568442,0.0,1.0
2019-04-17,35.94,36.13,35.26,36.0,35.768,857946,0.0,1.0
2019-04-16,35.34,35.8,34.745,35.77,35.5395,1544769,0.0,1.0
2019-04-15,35.9,36.05,35.09,35.21,34.9831,685765,0.0,1.0
2019-04-12,35.36,35.96,35.21,35.89,35.6587,832932,0.0,1.0
2019-04-11,34.98,35.39,34.695,34.97,34.7447,502773,0.21,1.0
2019-04-10,34.88,35.12,34.49,35.09,34.6558,419597,0.0,1.0
2019-04-09,34.99,35.18,34.6,34.87,34.4385,645027,0.0,1.0
2019-04-08,35.14,35.44,34.99,35.24,34.8039,538604,0.0,1.0
2019-04-05,35.05,35.24,34.72,35.19,34.7545,433106,0.0,1.0
2019-04-04,34.33,35.05,34.33,34.89,34.4583,761494,0.0,1.0
2019-04-03,34.64,34.88,34.13,34.31,33.8854,751974,0.0,1.0
2019-04-02,34.29,34.62,34.23,34.37,33.9447,606975,0.0,1.0
2019-04-01,33.8,34.48,33.735,34.41,33.9842,625465,0.0,1.0
2019-03-29,34.34,34.34,33.36,33.4,32.9867,718491,0.0,1.0
2019-03-28,33.42,34.01,33.33,33.98,33.5595,625133,0.0,1.0
2019-03-27,33.28,33.56,32.85,33.34,32.9274,851032,0.0,1.0
2019-03-26,32.58,33.41,32.58,33.38,32.9669,878689,0.0,1.0
2019-03-25,32.18,32.58,31.9,32.42,32.0188,1413399,0.0,1.0
2019-03-22,33.09,33.1651,31.83,32.15,31.7522,1164723,0.0,1.0
2019-03-21,33.83,34.22,33.39,33.52,33.1052,981629,0.0,1.0
2019-03-20,35.0,35.235,34.11,34.16,33.7373,830277,0.0,1.0
2019-03-19,36.38,36.38,35.105,35.15,34.715,544665,0.0,1.0
2019-03-18,35.7,36.3525,35.7,36.22,35.7718,849556,0.0,1.0
2019-03-15,35.81,35.95,35.255,35.63,35.1891,2257620,0.0,1.0
2019-03-14,35.67,36.0,35.49,35.84,35.3965,1190709,0.0,1.0
2019-03-13,35.45,35.765,35.19,35.64,35.199,859444,0.0,1.0
2019-03-12,35.26,35.52,35.0,35.25,34.8138,502911,0.0,1.0
2019-03-11,35.18,35.37,34.98,35.25,34.8138,664416,0.0,1.0
2019-03-08,34.85,35.26,34.85,35.0,34.5669,731326,0.0,1.0
2019-03-07,35.28,35.61,34.98,35.14,34.7052,560709,0.0,1.0
2019-03-06,36.5,36.675,35.54,35.63,35.1891,694144,0.0,1.0
2019-03-05,36.44,36.785,35.915,36.49,36.0385,701089,0.0,1.0
2019-03-04,36.61,36.91,36.2,36.48,36.0286,472143,0.0,1.0
2019-03-01,36.73,36.91,36.28,36.65,36.1965,562518,0.0,1.0
2019-02-28,36.54,36.64,36.4,36.49,36.0385,554816,0.0,1.0
2019-02-27,36.5,36.58,36.23,36.48,36.0286,694642,0.0,1.0
2019-02-26,36.51,36.91,36.325,36.41,35.9594,658102,0.0,1.0
2019-02-25,37.32,37.32,36.715,36.73,36.2755,680057,0.0,1.0
2019-02-22,36.61,37.0,36.56,36.96,36.5026,603483,0.0,1.0
2019-02-21,36.69,36.77,36.35,36.61,36.157,622482,0.0,1.0
