timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-15,82.69,82.41,81.78,81.78,81.78,16172,0.0,1.0
2019-07-12,81.7,82.51,81.5,82.42,82.42,135214,0.0,1.0
2019-07-11,80.72,81.47,80.33,81.4,81.4,132021,0.0,1.0
2019-07-10,81.43,81.56,80.36,80.54,80.54,141178,0.0,1.0
2019-07-09,80.53,81.66,80.53,81.43,81.43,228653,0.0,1.0
2019-07-08,82.74,82.74,81.09,81.2,81.2,278192,0.0,1.0
2019-07-05,82.62,83.22,82.42,83.09,83.09,111988,0.0,1.0
2019-07-03,81.97,82.19,81.26,82.16,82.16,105464,0.0,1.0
2019-07-02,82.18,82.57,81.05,81.62,81.62,164019,0.0,1.0
2019-07-01,83.48,83.77,82.04,82.46,82.46,239401,0.0,1.0
2019-06-28,82.26,83.44,81.83,82.91,82.91,380302,0.0,1.0
2019-06-27,80.71,81.66,80.38,81.62,81.62,261466,0.0,1.0
2019-06-26,79.85,81.18,79.77,80.61,80.61,406923,0.0,1.0
2019-06-25,79.03,79.9,78.28,79.6,79.6,270186,0.0,1.0
2019-06-24,79.23,79.99,78.87,79.06,79.06,230686,0.0,1.0
2019-06-21,79.43,79.92,78.845,79.13,79.13,542526,0.0,1.0
2019-06-20,79.76,80.04,78.24,79.54,79.54,288988,0.0,1.0
2019-06-19,80.73,81.17,79.26,79.32,79.32,273345,0.0,1.0
2019-06-18,79.21,80.565,78.79,80.51,80.51,258674,0.0,1.0
2019-06-17,80.56,80.91,78.87,79.17,79.17,186080,0.0,1.0
2019-06-14,80.65,80.815,79.7,80.51,80.51,193764,0.0,1.0
2019-06-13,80.24,80.86,80.04,80.42,80.42,135321,0.0,1.0
2019-06-12,79.92,80.54,79.72,79.99,79.99,159112,0.0,1.0
2019-06-11,80.63,80.97,79.805,80.0,80.0,223431,0.0,1.0
2019-06-10,79.65,80.75,79.18,80.3,80.3,213567,0.0,1.0
2019-06-07,78.77,79.425,78.31,79.18,79.18,186313,0.0,1.0
