timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-15,19.28,19.375,18.94,18.975,18.975,4951,0.0,1.0
2019-07-12,19.0,19.35,19.0,19.27,19.27,73908,0.0,1.0
2019-07-11,19.0,19.15,18.81,19.09,19.09,123517,0.0,1.0
2019-07-10,19.27,19.27,18.93,19.03,19.03,56706,0.0,1.0
2019-07-09,19.13,19.35,19.13,19.2,19.2,61608,0.0,1.0
2019-07-08,19.48,19.49,19.09,19.24,19.24,54548,0.0,1.0
2019-07-05,19.39,19.56,19.37,19.54,19.54,53636,0.0,1.0
2019-07-03,19.16,19.38,19.15,19.38,19.38,33837,0.0,1.0
2019-07-02,19.21,19.39,18.86,19.1,19.1,117471,0.0,1.0
2019-07-01,19.25,19.46,19.2404,19.29,19.29,163799,0.0,1.0
2019-06-28,19.25,19.45,19.05,19.12,19.12,1036480,0.0,1.0
2019-06-27,18.56,19.08,18.56,19.06,19.06,133471,0.0,1.0
2019-06-26,18.34,18.86,18.34,18.56,18.56,141197,0.0,1.0
2019-06-25,18.35,18.49,18.25,18.34,18.34,111702,0.0,1.0
2019-06-24,18.69,18.75,18.4,18.44,18.44,129336,0.0,1.0
2019-06-21,18.69,18.89,18.6814,18.71,18.71,122503,0.0,1.0
2019-06-20,19.05,19.05,18.7928,18.83,18.83,88208,0.0,1.0
2019-06-19,18.94,19.23,18.885,18.95,18.95,114619,0.0,1.0
2019-06-18,18.94,19.25,18.91,18.98,18.98,121403,0.0,1.0
2019-06-17,18.86,19.1466,18.76,19.0,19.0,127880,0.0,1.0
2019-06-14,18.6,18.93,18.5,18.86,18.86,113948,0.0,1.0
2019-06-13,18.7,18.9,18.37,18.58,18.58,125042,0.0,1.0
2019-06-12,18.8,18.8,18.5,18.67,18.67,67679,0.0,1.0
2019-06-11,19.06,19.11,18.69,18.79,18.79,115957,0.0,1.0
2019-06-10,18.61,19.12,18.61,18.92,18.92,88102,0.0,1.0
2019-06-07,18.6,18.74,18.535,18.61,18.61,66241,0.0,1.0
2019-06-06,18.77,18.845,18.495,18.7,18.7,47593,0.0,1.0
2019-06-05,19.05,19.05,18.68,18.83,18.83,81688,0.0,1.0
2019-06-04,19.02,19.21,18.84,19.09,19.09,89774,0.0,1.0
2019-06-03,18.64,18.95,18.56,18.83,18.83,43184,0.0,1.0
2019-05-31,18.93,18.95,18.58,18.66,18.66,65117,0.0,1.0
2019-05-30,19.39,19.39,18.97,19.16,19.16,61780,0.0,1.0
2019-05-29,19.0,19.39,18.73,19.32,19.32,85396,0.0,1.0
2019-05-28,19.08,19.11,18.865,19.06,19.06,76524,0.0,1.0
2019-05-24,19.03,19.21,18.97,19.15,19.15,21640,0.0,1.0
2019-05-23,19.02,19.02,18.65,18.91,18.91,32328,0.0,1.0
2019-05-22,19.44,19.75,19.03,19.2,19.2,32114,0.0,1.0
2019-05-21,19.41,19.59,19.27,19.54,19.54,47371,0.0,1.0
2019-05-20,19.19,19.55,19.09,19.36,19.36,28260,0.0,1.0
2019-05-17,19.26,19.64,19.25,19.3,19.3,33828,0.0,1.0
2019-05-16,19.48,19.84,19.41,19.49,19.49,35523,0.0,1.0
2019-05-15,19.21,19.53,19.09,19.47,19.47,47837,0.0,1.0
2019-05-14,19.16,19.56,19.04,19.44,19.44,30149,0.0,1.0
2019-05-13,19.62,19.64,19.105,19.17,19.17,43586,0.0,1.0
2019-05-10,19.78,19.96,19.475,19.95,19.95,46423,0.0,1.0
2019-05-09,19.66,19.82,19.44,19.71,19.71,39293,0.0,1.0
2019-05-08,19.97,20.0,19.81,19.82,19.82,40348,0.0,1.0
2019-05-07,20.19,20.19,19.89,19.97,19.97,81980,0.0,1.0
2019-05-06,19.93,20.49,19.93,20.37,20.37,70769,0.0,1.0
2019-05-03,20.07,20.4,19.97,20.23,20.23,102072,0.0,1.0
2019-05-02,19.98,20.43,19.87,19.92,19.92,88514,0.0,1.0
2019-05-01,20.05,20.14,19.885,19.98,19.98,281142,0.0,1.0
2019-04-30,20.0,20.205,19.92,20.02,20.02,213584,0.0,1.0
2019-04-29,19.81,20.335,19.81,20.14,20.14,117657,0.0,1.0
2019-04-26,19.73,19.84,19.52,19.75,19.75,56681,0.0,1.0
2019-04-25,19.51,19.64,19.29,19.55,19.55,33501,0.0,1.0
2019-04-24,19.42,19.59,19.33,19.51,19.51,75581,0.0,1.0
