timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-15,71.73,71.97,70.08,71.755,71.755,8744384,0.0,1.0
2019-07-12,71.89,72.02,71.58,71.77,71.77,15355690,0.0,1.0
2019-07-11,71.4298,72.0,71.09,71.61,71.61,10739410,0.0,1.0
2019-07-10,71.5,71.935,70.65,71.13,71.13,12153196,0.0,1.0
2019-07-09,70.53,71.67,70.41,71.56,71.56,9477650,0.0,1.0
2019-07-08,70.76,71.69,70.64,71.13,71.13,10196327,0.0,1.0
2019-07-05,71.27,71.8,70.98,71.4,71.4,9107470,0.0,1.0
2019-07-03,70.71,71.2,70.28,70.85,70.85,7632411,0.0,1.0
2019-07-02,70.36,70.98,70.09,70.44,70.44,10273825,0.0,1.0
2019-07-01,70.86,71.64,70.19,70.74,70.74,13596361,0.0,1.0
2019-06-28,69.28,70.205,69.125,70.03,70.03,20388681,0.0,1.0
2019-06-27,67.62,68.43,67.53,68.15,68.15,11989076,0.0,1.0
2019-06-26,67.04,67.72,66.765,67.22,67.22,13654095,0.0,1.0
2019-06-25,67.46,67.48,66.48,66.54,66.54,14205639,0.0,1.0
2019-06-24,67.82,68.5046,67.38,67.41,67.41,11223709,0.0,1.0
2019-06-21,68.03,68.96,67.82,67.97,67.97,19502534,0.0,1.0
2019-06-20,68.56,68.72,67.235,68.1,68.1,15557252,0.0,1.0
2019-06-19,68.16,68.59,67.58,67.59,67.59,12335105,0.0,1.0
2019-06-18,66.81,68.25,66.5,67.98,67.98,12199062,0.0,1.0
2019-06-17,67.5,67.51,66.4,66.54,66.54,8136157,0.0,1.0
2019-06-14,67.15,67.725,66.5,67.48,67.48,8902164,0.0,1.0
2019-06-13,66.83,67.435,66.765,67.08,67.08,9453801,0.0,1.0
2019-06-12,67.65,67.81,66.63,66.81,66.81,9878318,0.0,1.0
2019-06-11,67.58,68.03,67.16,67.88,67.88,9800911,0.0,1.0
2019-06-10,66.88,67.98,66.73,67.12,67.12,10994669,0.0,1.0
2019-06-07,66.16,66.8,65.62,65.69,65.69,11674193,0.0,1.0
2019-06-06,65.82,66.77,65.5,66.47,66.47,10868907,0.0,1.0
2019-06-05,65.45,66.02,64.5,65.78,65.78,12536284,0.0,1.0
2019-06-04,63.79,65.94,63.76,65.88,65.88,17743096,0.0,1.0
2019-06-03,62.1,62.78,61.94,62.61,62.61,19636778,0.0,1.0
2019-05-31,62.39,62.87,61.97,62.15,62.15,19968873,0.0,1.0
2019-05-30,64.77,65.25,63.25,63.61,63.61,13570910,0.0,1.0
2019-05-29,63.15,63.83,62.72,63.71,63.71,13836272,0.0,1.0
2019-05-28,64.09,64.45,63.76,63.79,63.79,14727413,0.0,1.0
2019-05-24,64.29,64.7116,64.06,64.39,64.39,9715596,0.0,1.0
2019-05-23,63.82,63.94,63.08,63.9,63.9,15042239,0.0,1.0
2019-05-22,65.84,65.92,64.64,64.66,64.66,12564927,0.0,1.0
2019-05-21,65.5,66.09,65.2,66.08,66.08,11051518,0.0,1.0
2019-05-20,64.75,65.5,64.52,64.96,64.96,11605907,0.0,1.0
2019-05-17,64.97,65.93,64.89,65.07,65.07,11503486,0.0,1.0
2019-05-16,65.31,66.39,65.17,65.98,65.98,10573074,0.0,1.0
2019-05-15,64.46,65.225,64.02,64.87,64.87,14570886,0.0,1.0
2019-05-14,64.62,65.9666,64.35,65.26,65.26,15096441,0.0,1.0
2019-05-13,66.13,66.33,63.96,64.38,64.38,23494395,0.0,1.0
2019-05-10,67.27,68.1,66.5333,67.9,67.9,12318699,0.0,1.0
2019-05-09,66.83,67.86,66.433,67.63,67.63,16994173,0.0,1.0
2019-05-08,67.88,68.85,67.71,68.22,68.22,9470460,0.0,1.0
