timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-15,20.17,20.2,19.85,19.92,19.92,122001,0.0,1.0
2019-07-12,20.26,20.355,20.1,20.2,20.2,841167,0.0,1.0
2019-07-11,20.12,20.31,19.91,20.14,20.14,653322,0.0,1.0
2019-07-10,20.21,20.23,19.75,20.04,20.04,654906,0.0,1.0
2019-07-09,19.77,20.165,19.72,20.14,20.14,504346,0.0,1.0
2019-07-08,20.18,20.4089,20.03,20.15,20.15,558784,0.0,1.0
2019-07-05,20.09,20.49,20.09,20.34,20.34,402441,0.0,1.0
2019-07-03,20.05,20.09,19.81,19.89,19.89,406577,0.0,1.0
2019-07-02,20.58,20.71,19.885,20.0,20.0,795424,0.0,1.0
2019-07-01,21.13,21.21,20.545,20.72,20.72,699219,0.0,1.0
2019-06-28,20.75,21.19,20.52,20.8,20.8,3012172,0.0,1.0
2019-06-27,20.04,20.56,19.92,20.54,20.54,845808,0.0,1.0
2019-06-26,19.96,20.23,19.915,20.03,20.03,728052,0.0,1.0
2019-06-25,20.16,20.16,19.71,19.91,19.91,1581111,0.0,1.0
2019-06-24,20.56,20.672,20.155,20.16,20.16,644202,0.0,1.0
2019-06-21,20.45,20.95,20.3228,20.56,20.56,1951351,0.0,1.0
2019-06-20,20.5,20.59,20.03,20.59,20.59,866713,0.0,1.0
2019-06-19,20.37,20.68,20.24,20.42,20.42,1120993,0.0,1.0
2019-06-18,19.92,20.41,19.77,20.33,20.33,1266465,0.0,1.0
2019-06-17,19.85,20.095,19.67,19.92,19.92,1326976,0.0,1.0
2019-06-14,19.9,20.02,19.6,19.92,19.92,577156,0.0,1.0
2019-06-13,19.82,20.05,19.75,19.88,19.88,1092803,0.0,1.0
2019-06-12,19.63,19.735,19.38,19.67,19.67,665588,0.0,1.0
2019-06-11,19.69,19.9137,19.48,19.65,19.65,560491,0.0,1.0
2019-06-10,19.61,19.97,19.52,19.54,19.54,640406,0.0,1.0
2019-06-07,19.35,19.55,19.1,19.39,19.39,730243,0.0,1.0
2019-06-06,19.67,19.73,19.16,19.46,19.46,592234,0.0,1.0
2019-06-05,19.71,19.84,19.33,19.76,19.76,635683,0.0,1.0
2019-06-04,19.16,19.82,19.14,19.68,19.68,1360615,0.0,1.0
2019-06-03,18.47,19.2,18.41,18.91,18.91,1650895,0.0,1.0
2019-05-31,18.96,18.98,18.49,18.5,18.5,2308643,0.0,1.0
2019-05-30,19.73,20.049,19.3,19.33,19.33,964184,0.175,1.0
2019-05-29,19.61,19.93,19.39,19.85,19.6719,1360206,0.0,1.0
2019-05-28,20.28,20.34,19.76,19.81,19.6323,986696,0.0,1.0
2019-05-24,20.28,20.33,20.12,20.33,20.1476,821959,0.0,1.0
2019-05-23,20.29,20.3,19.875,20.13,19.9494,1202754,0.0,1.0
2019-05-22,20.94,20.994,20.42,20.57,20.3854,975836,0.0,1.0
2019-05-21,20.96,21.25,20.95,21.05,20.8611,553714,0.0,1.0
2019-05-20,20.7,21.13,20.7,20.89,20.7026,892615,0.0,1.0
2019-05-17,21.01,21.41,20.78,20.8,20.6134,966392,0.0,1.0
2019-05-16,21.23,21.57,21.19,21.3,21.1089,856469,0.0,1.0
2019-05-15,20.97,21.19,20.44,21.11,20.9206,1233773,0.0,1.0
2019-05-14,20.87,21.5,20.69,21.28,21.0891,1076547,0.0,1.0
2019-05-13,21.51,21.597,20.68,20.74,20.5539,1687966,0.0,1.0
2019-05-10,21.78,22.05,21.6,22.01,21.8125,866948,0.0,1.0
2019-05-09,21.97,22.18,21.58,21.98,21.7828,940965,0.0,1.0
2019-05-08,22.47,22.61,22.02,22.12,21.9215,1208186,0.0,1.0
2019-05-07,22.59,22.78,22.245,22.47,22.2684,1062273,0.0,1.0
2019-05-06,22.59,23.21,22.55,22.92,22.7144,1493596,0.0,1.0
2019-05-03,22.67,23.075,22.5,23.06,22.8531,2391538,0.0,1.0
2019-05-02,22.38,22.95,22.36,22.53,22.3279,1489017,0.0,1.0
2019-05-01,22.84,23.04,22.29,22.39,22.1891,1930512,0.0,1.0
2019-04-30,22.65,23.22,22.53,22.75,22.5459,1894847,0.0,1.0
2019-04-29,22.01,22.7,21.82,22.45,22.2486,2244709,0.0,1.0
2019-04-26,20.95,21.45,20.855,21.4,21.208,1171252,0.0,1.0
