timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-15,65.81,65.56,65.05,65.25,65.25,12154,0.0,1.0
2019-07-12,65.11,65.98,65.0,65.61,65.61,149982,0.0,1.0
2019-07-11,64.87,65.26,64.51,65.18,65.18,124276,0.0,1.0
2019-07-10,65.74,65.8334,64.76,64.82,64.82,155833,0.0,1.0
2019-07-09,65.31,65.69,64.98,65.56,65.56,158201,0.0,1.0
2019-07-08,65.74,65.9728,65.05,65.39,65.39,151454,0.0,1.0
2019-07-05,65.78,66.36,65.59,66.12,66.12,100906,0.0,1.0
2019-07-03,64.83,65.44,64.82,65.43,65.43,83073,0.0,1.0
2019-07-02,65.58,65.78,64.1,64.69,64.69,139535,0.0,1.0
2019-07-01,66.33,66.4,65.39,65.63,65.63,163177,0.0,1.0
2019-06-28,65.41,66.23,65.19,65.84,65.84,403307,0.0,1.0
2019-06-27,63.59,65.1,63.59,65.09,65.09,160706,0.0,1.0
2019-06-26,64.19,64.75,63.68,63.72,63.72,209001,0.0,1.0
2019-06-25,63.76,64.15,63.07,63.91,63.91,182567,0.0,1.0
2019-06-24,64.33,64.87,63.81,63.86,63.86,138609,0.0,1.0
2019-06-21,64.36,65.53,64.23,64.57,64.57,372387,0.0,1.0
2019-06-20,64.16,64.99,63.3681,64.63,64.63,216321,0.0,1.0
2019-06-19,64.46,64.93,63.91,63.91,63.91,170405,0.0,1.0
2019-06-18,63.58,64.9,63.0988,64.43,64.43,113900,0.0,1.0
2019-06-17,64.25,64.6,63.38,63.38,63.38,170040,0.0,1.0
2019-06-14,64.28,64.54,63.77,64.33,64.33,91353,0.0,1.0
2019-06-13,63.84,64.49,63.76,64.24,64.24,116049,0.38,1.0
2019-06-12,64.17,64.51,63.61,63.95,63.5739,148558,0.0,1.0
2019-06-11,64.68,64.83,63.63,64.29,63.9119,128132,0.0,1.0
2019-06-10,64.26,64.97,64.11,64.34,63.9616,111012,0.0,1.0
2019-06-07,63.65,64.05,63.45,63.76,63.3851,96476,0.0,1.0
2019-06-06,63.62,64.21,62.92,63.79,63.4149,119578,0.0,1.0
2019-06-05,63.91,64.32,63.0,63.94,63.564,122441,0.0,1.0
2019-06-04,63.05,64.19,62.835,64.15,63.7728,137048,0.0,1.0
2019-06-03,61.54,62.84,61.54,62.39,62.0231,197664,0.0,1.0
2019-05-31,61.67,62.105,61.22,61.81,61.4465,175992,0.0,1.0
2019-05-30,63.61,63.71,61.76,62.54,62.1722,86220,0.0,1.0
2019-05-29,62.75,63.67,62.425,63.54,63.1664,167872,0.0,1.0
2019-05-28,63.91,64.16,63.23,63.28,62.9079,119058,0.0,1.0
2019-05-24,63.33,64.11,62.78,64.0,63.6236,116804,0.0,1.0
2019-05-23,64.05,64.23,62.36,63.0,62.6295,210503,0.0,1.0
2019-05-22,64.97,65.08,64.37,64.63,64.2499,104243,0.0,1.0
2019-05-21,65.11,65.32,64.65,65.21,64.8265,106100,0.0,1.0
2019-05-20,64.39,65.3334,64.06,64.8,64.4189,79917,0.0,1.0
2019-05-17,64.55,65.48,64.3,64.6,64.2201,167820,0.0,1.0
2019-05-16,64.66,65.34,64.56,64.93,64.5482,94576,0.0,1.0
2019-05-15,64.28,64.57,63.58,64.18,63.8026,132320,0.0,1.0
2019-05-14,63.93,65.41,63.82,65.08,64.6973,112020,0.0,1.0
2019-05-13,65.13,65.13,63.49,63.78,63.4049,171950,0.0,1.0
2019-05-10,65.68,66.185,64.74,66.14,65.7511,131232,0.0,1.0
2019-05-09,65.0,65.76,64.74,65.68,65.2938,160007,0.0,1.0
2019-05-08,66.36,66.52,65.5,65.58,65.1944,159222,0.0,1.0
2019-05-07,66.95,67.09,65.67,66.31,65.9201,144550,0.0,1.0
2019-05-06,66.34,67.785,66.34,67.47,67.0732,204376,0.0,1.0
2019-05-03,66.08,67.44,66.06,67.26,66.8645,196035,0.0,1.0
2019-05-02,65.2,66.2,64.99,65.87,65.4826,149050,0.0,1.0
2019-05-01,66.21,66.74,65.04,65.22,64.8365,481392,0.0,1.0
2019-04-30,65.98,66.71,65.715,66.46,66.0692,932050,0.0,1.0
2019-04-29,65.67,66.25,65.4,65.81,65.423,226687,0.0,1.0
2019-04-26,64.23,65.52,64.17,65.52,65.1347,193298,0.0,1.0
2019-04-25,65.0,65.01,64.0,64.15,63.7728,310154,0.0,1.0
2019-04-24,64.42,65.7,64.25,65.49,65.1049,255054,0.0,1.0
2019-04-23,64.27,64.99,63.55,64.85,64.4686,328171,0.0,1.0
2019-04-22,63.06,64.5,62.38,64.29,63.9119,298261,0.0,1.0
