timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-15,93.9,94.13,92.46,93.285,93.285,26666,0.0,1.0
2019-07-12,92.66,93.95,92.36,93.86,93.86,315554,0.0,1.0
2019-07-11,91.64,92.95,91.32,92.62,92.62,349664,0.0,1.0
2019-07-10,93.34,93.34,91.96,92.38,92.38,220352,0.0,1.0
2019-07-09,91.74,93.7,91.62,93.64,93.64,330283,0.0,1.0
2019-07-08,94.04,94.34,92.15,92.22,92.22,316294,0.0,1.0
2019-07-05,93.8,94.84,93.8,94.83,94.83,186316,0.0,1.0
2019-07-03,93.0,93.57,92.67,93.41,93.41,126262,0.0,1.0
2019-07-02,93.08,93.69,92.06,92.72,92.72,195682,0.0,1.0
2019-07-01,94.4,95.17,93.67,93.79,93.79,370516,0.0,1.0
2019-06-28,93.42,94.75,92.38,93.66,93.66,502042,0.0,1.0
2019-06-27,92.33,93.29,92.0,92.78,92.78,226362,0.0,1.0
2019-06-26,91.08,92.57,90.9847,91.86,91.86,250039,0.0,1.0
2019-06-25,91.09,91.29,90.02,90.76,90.76,271170,0.0,1.0
2019-06-24,92.59,93.17,91.28,91.29,91.29,223834,0.0,1.0
2019-06-21,92.98,93.61,92.35,92.41,92.41,467874,0.0,1.0
2019-06-20,94.42,94.42,91.92,93.27,93.27,459336,0.0,1.0
2019-06-19,92.75,94.79,92.75,93.46,93.46,403784,0.0,1.0
2019-06-18,91.2,93.05,90.84,92.69,92.69,266644,0.0,1.0
2019-06-17,92.24,92.26,90.87,91.1,91.1,194435,0.0,1.0
2019-06-14,93.07,93.07,91.59,92.47,92.47,225736,0.0,1.0
2019-06-13,93.22,94.25,92.705,92.96,92.96,145877,0.0,1.0
2019-06-12,93.14,93.57,91.6,92.82,92.82,246554,0.0,1.0
2019-06-11,93.76,94.515,92.64,92.94,92.94,232513,0.0,1.0
2019-06-10,93.52,94.39,92.94,93.24,93.24,284471,0.0,1.0
2019-06-07,93.43,93.48,92.36,92.64,92.64,174095,0.0,1.0
2019-06-06,94.12,94.46,92.935,93.63,93.63,207018,0.0,1.0
2019-06-05,95.01,95.32,93.25,94.36,94.36,194224,0.0,1.0
2019-06-04,93.23,95.16,92.78,95.16,95.16,236887,0.0,1.0
2019-06-03,91.32,92.935,91.07,92.04,92.04,316980,0.0,1.0
2019-05-31,92.0,92.49,91.085,91.27,91.27,322034,0.0,1.0
2019-05-30,95.2,95.2844,92.3,93.1,93.1,174631,0.71,1.0
2019-05-29,94.04,95.81,93.65,95.6,94.8765,279824,0.0,1.0
2019-05-28,96.25,96.65,95.01,95.1,94.3802,134032,0.0,1.0
2019-05-24,95.99,96.71,95.57,96.49,95.7597,200438,0.0,1.0
2019-05-23,96.6,97.0151,94.37,95.3,94.5787,202663,0.0,1.0
2019-05-22,99.22,99.64,97.75,97.81,97.0697,148713,0.0,1.0
2019-05-21,99.37,99.945,99.36,99.75,98.995,174918,0.0,1.0
2019-05-20,97.83,99.16,97.83,99.1,98.35,176431,0.0,1.0
2019-05-17,97.76,99.33,97.53,97.95,97.2087,234501,0.0,1.0
2019-05-16,97.58,99.08,97.58,98.67,97.9232,185448,0.0,1.0
2019-05-15,97.42,97.4219,95.97,96.94,96.2063,224212,0.0,1.0
2019-05-14,97.63,99.17,97.27,98.53,97.7843,164450,0.0,1.0
2019-05-13,99.6,99.85,97.34,97.34,96.6033,345381,0.0,1.0
2019-05-10,100.47,101.49,99.77,101.06,100.2951,201964,0.0,1.0
2019-05-09,99.26,101.23,98.79,101.01,100.2455,209674,0.0,1.0
2019-05-08,101.02,101.74,100.36,100.53,99.7691,296902,0.0,1.0
2019-05-07,101.73,102.125,100.8,101.33,100.5631,342621,0.0,1.0
2019-05-06,101.43,103.75,101.31,103.06,102.28,204706,0.0,1.0
2019-05-03,102.63,103.48,101.81,103.21,102.4289,200496,0.0,1.0
2019-05-02,100.09,102.07,100.09,101.97,101.1982,332757,0.0,1.0
2019-05-01,101.66,102.3867,99.63,100.06,99.3027,309269,0.0,1.0
2019-04-30,101.92,102.67,101.09,101.69,100.9204,402514,0.0,1.0
2019-04-29,100.1,102.86,100.1,102.13,101.357,339873,0.0,1.0
2019-04-26,97.8,100.25,97.8,99.99,99.2332,423102,0.0,1.0
2019-04-25,102.62,103.82,98.22,98.35,97.6056,787399,0.0,1.0
2019-04-24,103.31,103.69,101.72,102.7,101.9227,278414,0.0,1.0
2019-04-23,101.32,103.68,100.49,103.6,102.8159,282076,0.0,1.0
2019-04-22,102.33,102.65,101.055,101.46,100.6921,291308,0.0,1.0
2019-04-18,103.86,103.86,102.28,102.52,101.7441,300591,0.0,1.0
2019-04-17,104.5,104.53,103.1604,104.13,103.3419,249760,0.0,1.0
2019-04-16,102.91,104.24,102.11,104.08,103.2923,214702,0.0,1.0
2019-04-15,103.84,104.135,102.16,102.54,101.7639,161882,0.0,1.0
2019-04-12,103.08,104.21,101.87,103.95,103.1633,223462,0.0,1.0
2019-04-11,101.79,102.38,100.67,101.56,100.7913,138262,0.0,1.0
2019-04-10,101.42,101.44,99.43,101.2,100.4341,274700,0.0,1.0
2019-04-09,101.6,101.7,100.26,101.02,100.2554,203013,0.0,1.0
2019-04-08,102.23,102.61,101.63,102.15,101.3769,159704,0.0,1.0
2019-04-05,101.8,102.38,100.8,102.11,101.3372,206178,0.0,1.0
2019-04-04,100.16,101.68,100.06,101.5,100.7318,258083,0.0,1.0
2019-04-03,100.85,101.4,100.11,100.58,99.8188,208966,0.0,1.0
2019-04-02,99.44,100.4,99.26,99.75,98.995,262034,0.0,1.0
2019-04-01,98.16,99.96,97.845,99.88,99.1241,233133,0.0,1.0
2019-03-29,98.33,98.55,96.865,97.07,96.3353,276691,0.0,1.0
2019-03-28,95.98,97.49,95.62,97.45,96.7125,209034,0.0,1.0
2019-03-27,96.17,96.61,95.19,95.9,95.1742,282740,0.0,1.0
2019-03-26,95.11,96.78,94.86,96.69,95.9582,262987,0.0,1.0
2019-03-25,93.61,95.05,93.05,94.28,93.5664,300895,0.0,1.0
2019-03-22,95.72,95.86,92.83,93.77,93.0603,418196,0.0,1.0
2019-03-21,97.35,98.35,96.44,96.93,96.1964,334144,0.0,1.0
2019-03-20,101.03,101.59,97.905,98.19,97.4469,269389,0.0,1.0
2019-03-19,104.27,104.27,100.92,101.22,100.4539,249066,0.0,1.0
2019-03-18,102.58,104.145,102.58,103.8,103.0144,284466,0.0,1.0
2019-03-15,101.65,102.94,101.65,102.35,101.5754,504778,0.0,1.0
2019-03-14,101.26,102.09,101.07,101.82,101.0494,173974,0.0,1.0
2019-03-13,101.75,102.165,100.79,101.37,100.6028,393096,0.0,1.0
2019-03-12,101.83,101.98,100.85,101.25,100.4837,188634,0.0,1.0
2019-03-11,101.55,102.31,101.36,101.73,100.9601,212152,0.0,1.0
2019-03-08,99.91,101.47,99.91,101.19,100.4241,215265,0.0,1.0
2019-03-07,102.09,102.18,100.225,100.76,99.9974,399900,0.0,1.0
2019-03-06,104.45,105.03,102.48,102.68,101.9029,324513,0.0,1.0
2019-03-05,103.98,105.56,102.57,104.67,103.8778,354407,0.0,1.0
2019-03-04,104.5,104.79,103.05,104.22,103.4312,307985,0.0,1.0
