timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-15,91.38,91.46,89.53,90.07,90.07,200312,0.0,1.0
2019-07-12,91.11,91.36,90.57,91.07,91.07,1499811,0.0,1.0
2019-07-11,90.61,91.215,90.1703,90.71,90.71,1491990,0.0,1.0
2019-07-10,92.22,92.65,90.0,90.16,90.16,2495522,0.0,1.0
2019-07-09,91.02,92.4596,91.01,92.29,92.29,1982499,0.0,1.0
2019-07-08,92.07,92.46,91.48,91.8,91.8,1409756,0.0,1.0
2019-07-05,93.0,93.13,91.95,92.54,92.54,1107026,0.0,1.0
2019-07-03,91.78,93.0,91.55,92.99,92.99,1296971,0.0,1.0
2019-07-02,91.8,91.97,90.63,91.1,91.1,1637912,0.0,1.0
2019-07-01,92.3,92.83,91.2316,92.04,92.04,1733430,0.0,1.0
2019-06-28,90.21,91.09,89.34,90.74,90.74,3156333,0.0,1.0
2019-06-27,89.59,90.39,88.99,89.33,89.33,1439617,0.0,1.0
2019-06-26,89.0,89.71,88.65,89.38,89.38,1559021,0.0,1.0
2019-06-25,88.57,89.72,88.07,88.82,88.82,1859162,0.0,1.0
2019-06-24,91.0,91.18,87.99,88.72,88.72,3038173,0.0,1.0
2019-06-21,91.73,92.36,90.84,91.52,91.52,3195382,0.0,1.0
2019-06-20,91.56,91.94,90.5,91.63,91.63,1365347,0.0,1.0
2019-06-19,91.42,92.04,90.22,90.48,90.48,1715537,0.0,1.0
2019-06-18,90.0,91.87,89.9,91.29,91.29,2205596,0.0,1.0
2019-06-17,90.57,91.05,89.735,89.95,89.95,1416819,0.0,1.0
2019-06-14,91.0,91.0,89.58,90.57,90.57,1310012,0.0,1.0
2019-06-13,90.6,91.44,90.49,90.77,90.77,1313313,0.0,1.0
2019-06-12,91.38,91.71,90.01,90.55,90.55,1011022,0.0,1.0
2019-06-11,91.31,92.24,90.98,91.34,91.34,1194438,0.0,1.0
2019-06-10,90.92,91.735,90.36,90.43,90.43,1402828,0.0,1.0
2019-06-07,90.16,90.95,90.04,90.26,90.26,1296185,0.0,1.0
2019-06-06,89.8,90.67,89.61,90.36,90.36,1474467,0.0,1.0
2019-06-05,90.0,90.2,88.515,89.9,89.9,1666696,0.0,1.0
2019-06-04,88.37,89.94,87.99,89.92,89.92,2047351,0.0,1.0
2019-06-03,85.98,87.42,85.87,87.08,87.08,2050023,0.0,1.0
2019-05-31,87.22,87.58,85.72,85.87,85.87,2785426,0.0,1.0
2019-05-30,89.55,90.2,87.6729,88.35,88.35,1376388,0.0,1.0
2019-05-29,88.22,89.56,87.545,89.44,89.44,1604986,0.0,1.0
2019-05-28,90.36,90.91,88.69,88.75,88.75,2016479,0.0,1.0
2019-05-24,89.87,90.88,89.73,90.78,90.78,1175749,0.0,1.0
2019-05-23,90.41,90.41,88.6,89.25,89.25,1584288,0.0,1.0
2019-05-22,91.66,92.16,91.25,91.26,91.26,1117329,0.0,1.0
2019-05-21,91.97,92.27,91.6,92.2,92.2,1859198,0.0,1.0
2019-05-20,90.41,91.88,90.0,91.38,91.38,1460123,0.0,1.0
2019-05-17,90.03,91.38,89.93,90.54,90.54,1518108,0.0,1.0
2019-05-16,89.87,91.56,89.69,90.98,90.98,1631008,0.0,1.0
2019-05-15,88.3,90.06,87.24,89.38,89.38,1899956,0.0,1.0
2019-05-14,88.24,90.05,88.1,89.26,89.26,1640661,0.0,1.0
2019-05-13,88.49,88.88,87.32,87.54,87.54,1819537,0.0,1.0
2019-05-10,89.65,90.77,88.32,90.39,90.39,1348808,0.4,1.0
2019-05-09,89.12,90.35,88.37,90.2,89.8026,2240775,0.0,1.0
2019-05-08,91.18,91.65,90.17,90.22,89.8225,2183270,0.0,1.0
2019-05-07,92.41,92.61,90.9,91.6,91.1964,1901519,0.0,1.0
2019-05-06,92.05,94.0796,91.88,93.61,93.1976,2208412,0.0,1.0
2019-05-03,93.22,94.3,93.12,94.26,93.8447,1694466,0.0,1.0
2019-05-02,92.66,93.26,92.15,92.92,92.5106,2062671,0.0,1.0
2019-05-01,92.56,93.49,92.24,92.58,92.1721,2210845,0.0,1.0
2019-04-30,93.02,93.26,91.58,92.83,92.421,2211302,0.0,1.0
2019-04-29,93.85,94.38,92.28,92.38,91.973,2466409,0.0,1.0
2019-04-26,90.7,94.14,90.7,93.73,93.317,4310332,0.0,1.0
2019-04-25,87.71,88.76,87.37,88.05,87.6621,2135601,0.0,1.0
2019-04-24,88.0,88.61,87.53,87.79,87.4032,1759865,0.0,1.0
2019-04-23,87.81,88.64,87.4,88.19,87.8015,1789016,0.0,1.0
2019-04-22,87.87,88.2291,87.3093,87.61,87.224,1060819,0.0,1.0
2019-04-18,87.71,88.29,87.5,88.11,87.7218,1413898,0.0,1.0
2019-04-17,88.1,88.25,87.3,87.92,87.5326,2337023,0.0,1.0
2019-04-16,87.45,88.35,87.033,87.91,87.5227,1888370,0.0,1.0
2019-04-15,87.81,87.95,86.55,86.88,86.4972,1215387,0.0,1.0
2019-04-12,87.35,88.69,86.94,87.83,87.443,1637098,0.0,1.0
2019-04-11,86.12,86.69,85.62,86.25,85.87,1390911,0.0,1.0
2019-04-10,85.27,85.78,84.53,85.63,85.2527,1413179,0.0,1.0
2019-04-09,85.5,85.71,84.59,85.1,84.7251,1212079,0.0,1.0
2019-04-08,85.8,86.14,85.29,86.04,85.6609,2023216,0.0,1.0
2019-04-05,87.0,87.25,85.9,86.54,86.1587,1554012,0.0,1.0
2019-04-04,85.52,86.74,85.1225,86.7,86.318,2137237,0.0,1.0
2019-04-03,85.11,86.2,84.93,85.31,84.9341,2852570,0.0,1.0
2019-04-02,84.5,85.57,84.0076,84.68,84.3069,2342121,0.0,1.0
2019-04-01,82.35,84.88,82.27,84.48,84.1078,3036506,0.0,1.0
2019-03-29,81.74,82.33,81.42,81.69,81.3301,2945592,0.0,1.0
2019-03-28,80.33,81.06,80.05,80.96,80.6033,1268550,0.0,1.0
2019-03-27,80.38,80.97,79.82,80.07,79.7172,1901986,0.0,1.0
2019-03-26,80.0,80.68,79.42,80.66,80.3046,1668608,0.0,1.0
2019-03-25,79.86,80.485,78.4547,79.36,79.0104,2327529,0.0,1.0
2019-03-22,82.14,82.27,79.68,80.0,79.6475,3119838,0.0,1.0
2019-03-21,82.2,83.505,81.48,82.89,82.5248,2569457,0.0,1.0
2019-03-20,84.13,84.23,82.79,82.95,82.5845,2462080,0.0,1.0
2019-03-19,85.38,85.87,84.16,84.41,84.0381,2342079,0.0,1.0
2019-03-18,84.54,85.62,84.37,84.9,84.5259,2529646,0.0,1.0
2019-03-15,83.11,84.52,82.93,84.33,83.9585,2993462,0.0,1.0
2019-03-14,83.62,83.9533,83.19,83.21,82.8434,1794907,0.0,1.0
2019-03-13,83.36,84.33,83.2,83.74,83.3711,1779810,0.0,1.0
2019-03-12,82.99,84.03,82.74,82.95,82.5845,2153214,0.0,1.0
2019-03-11,81.96,83.26,81.86,82.85,82.485,2926573,0.0,1.0
2019-03-08,80.44,81.43,80.08,81.37,81.0115,2111861,0.0,1.0
2019-03-07,82.22,82.29,80.81,81.28,80.9219,3035770,0.0,1.0
2019-03-06,82.76,83.46,82.485,82.51,82.1465,1713318,0.0,1.0
2019-03-05,83.3,83.57,81.6576,82.97,82.6045,1963773,0.0,1.0
2019-03-04,84.29,84.92,82.51,83.31,82.943,2918435,0.0,1.0
2019-03-01,84.0,85.48,83.81,84.26,83.8888,3081626,0.0,1.0
2019-02-28,82.43,83.87,81.91,83.58,83.2118,4649887,0.0,1.0
2019-02-27,80.71,82.33,80.5,82.26,81.8976,2676411,0.0,1.0
2019-02-26,81.16,81.67,80.25,80.9,80.5436,2682638,0.0,1.0
2019-02-25,81.99,82.6329,81.39,81.42,81.0613,2514291,0.0,1.0
2019-02-22,82.07,82.44,81.02,81.2,80.8423,2096554,0.0,1.0
2019-02-21,82.98,82.98,81.62,82.07,81.7084,1736933,0.0,1.0
