timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-15,30.17,30.25,29.77,29.98,29.98,13404,0.0,1.0
2019-07-12,29.98,30.42,29.98,30.18,30.18,75167,0.0,1.0
2019-07-11,29.89,30.0825,29.66,29.99,29.99,102933,0.0,1.0
2019-07-10,30.12,30.22,29.84,29.96,29.96,98102,0.0,1.0
2019-07-09,29.74,30.07,29.74,30.0,30.0,107995,0.0,1.0
2019-07-08,30.23,30.44,29.82,29.84,29.84,122586,0.0,1.0
2019-07-05,30.12,30.53,30.08,30.47,30.47,74267,0.0,1.0
2019-07-03,29.93,30.03,29.72,29.98,29.98,47782,0.0,1.0
2019-07-02,29.93,30.03,29.52,29.83,29.83,108273,0.0,1.0
2019-07-01,30.08,30.26,29.86,30.03,30.03,187941,0.0,1.0
2019-06-28,29.42,29.97,29.385,29.96,29.96,255858,0.0,1.0
2019-06-27,28.75,29.33,28.75,29.33,29.33,155223,0.0,1.0
2019-06-26,28.91,29.16,28.86,28.89,28.89,148627,0.0,1.0
2019-06-25,28.67,28.91,28.275,28.85,28.85,116090,0.0,1.0
2019-06-24,28.5,28.86,28.47,28.69,28.69,134815,0.0,1.0
2019-06-21,28.47,28.82,28.32,28.53,28.53,214232,0.0,1.0
2019-06-20,28.64,28.715,28.12,28.48,28.48,83306,0.0,1.0
2019-06-19,28.72,28.87,28.58,28.58,28.58,100098,0.0,1.0
2019-06-18,28.36,28.95,28.35,28.68,28.68,133183,0.0,1.0
2019-06-17,28.93,28.93,28.33,28.36,28.36,76456,0.0,1.0
2019-06-14,28.79,28.94,28.59,28.88,28.88,66092,0.0,1.0
2019-06-13,28.61,28.87,28.61,28.86,28.86,104702,0.0,1.0
2019-06-12,28.66,28.85,28.53,28.55,28.55,98688,0.0,1.0
2019-06-11,28.68,28.79,28.34,28.45,28.45,72597,0.0,1.0
2019-06-10,28.41,28.85,28.41,28.5,28.5,61954,0.0,1.0
2019-06-07,28.31,28.46,28.21,28.33,28.33,151521,0.0,1.0
2019-06-06,28.24,28.38,27.93,28.19,28.19,60989,0.0,1.0
2019-06-05,28.48,28.5,28.09,28.33,28.33,81509,0.0,1.0
