timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-15,20.25,20.2,19.88,19.98,19.98,19703,0.0,1.0
2019-07-12,20.36,20.49,20.2,20.24,20.24,126949,0.0,1.0
2019-07-11,20.1,20.37,20.07,20.25,20.25,69960,0.0,1.0
2019-07-10,20.26,20.34,20.03,20.15,20.15,94122,0.0,1.0
2019-07-09,20.21,20.39,20.03,20.22,20.22,79560,0.0,1.0
2019-07-08,20.58,20.88,20.26,20.32,20.32,108360,0.0,1.0
2019-07-05,20.41,20.83,20.41,20.82,20.82,112637,0.0,1.0
2019-07-03,20.06,20.37,20.0261,20.34,20.34,77154,0.0,1.0
2019-07-02,20.63,20.65,19.84,20.07,20.07,156983,0.0,1.0
2019-07-01,21.12,21.145,20.45,20.76,20.76,240868,0.0,1.0
2019-06-28,20.86,21.26,20.86,21.0,21.0,527922,0.0,1.0
2019-06-27,20.15,20.76,20.15,20.75,20.75,64594,0.0,1.0
2019-06-26,19.9,20.285,19.84,20.2,20.2,75217,0.0,1.0
2019-06-25,19.93,19.98,19.57,19.89,19.89,76589,0.0,1.0
2019-06-24,20.09,20.42,19.91,19.93,19.93,73228,0.0,1.0
2019-06-21,20.02,20.34,19.95,20.18,20.18,238060,0.0,1.0
2019-06-20,20.6,20.6,19.93,20.18,20.18,104534,0.0,1.0
2019-06-19,20.35,20.72,20.14,20.39,20.39,156265,0.0,1.0
2019-06-18,20.08,20.52,19.97,20.33,20.33,115906,0.0,1.0
2019-06-17,20.48,20.5,19.925,20.03,20.03,186605,0.0,1.0
2019-06-14,20.7,20.7,20.35,20.53,20.53,181407,0.0,1.0
2019-06-13,20.7,20.89,20.59,20.71,20.71,206141,0.0,1.0
2019-06-12,20.74,20.88,20.7,20.74,20.74,148617,0.0,1.0
2019-06-11,20.86,21.03,20.75,20.8,20.8,164965,0.0,1.0
2019-06-10,20.33,20.93,20.33,20.75,20.75,125243,0.0,1.0
2019-06-07,20.26,20.4,20.05,20.3,20.3,232495,0.0,1.0
2019-06-06,19.91,20.36,19.88,20.24,20.24,120249,0.0,1.0
2019-06-05,20.08,20.26,19.83,19.94,19.94,120178,0.0,1.0
2019-06-04,19.7,20.23,19.7,20.14,20.14,380075,0.0,1.0
2019-06-03,19.69,19.95,18.91,19.47,19.47,267816,0.0,1.0
2019-05-31,19.51,19.74,19.36,19.72,19.72,176075,0.0,1.0
2019-05-30,20.27,20.36,19.74,19.81,19.81,119147,0.0,1.0
2019-05-29,20.14,20.23,19.77,20.19,20.19,197888,0.0,1.0
2019-05-28,20.5,20.61,20.27,20.36,20.36,103273,0.0,1.0
2019-05-24,20.5,20.62,20.29,20.57,20.57,68956,0.0,1.0
2019-05-23,20.55,20.57,20.235,20.44,20.44,146453,0.0,1.0
2019-05-22,20.99,21.01,20.75,20.79,20.79,75474,0.0,1.0
2019-05-21,20.88,21.14,20.88,21.03,21.03,83421,0.0,1.0
2019-05-20,20.52,21.11,20.52,20.8,20.8,77872,0.0,1.0
2019-05-17,20.59,20.93,20.53,20.67,20.67,81002,0.0,1.0
2019-05-16,20.77,21.105,20.71,20.75,20.75,96406,0.0,1.0
2019-05-15,21.0,21.0,20.48,20.7,20.7,140824,0.0,1.0
2019-05-14,20.9,21.3,20.66,21.24,21.24,85891,0.0,1.0
2019-05-13,21.39,21.47,20.81,20.89,20.89,105062,0.0,1.0
2019-05-10,21.62,21.85,21.37,21.75,21.75,82988,0.0,1.0
2019-05-09,21.71,21.84,21.45,21.74,21.74,115317,0.0,1.0
2019-05-08,22.28,22.34,21.86,21.91,21.91,61351,0.0,1.0
2019-05-07,22.65,22.67,22.17,22.32,22.32,92929,0.0,1.0
2019-05-06,22.65,23.04,22.523,22.86,22.86,131666,0.0,1.0
2019-05-03,22.75,23.02,22.59,23.01,23.01,111658,0.0,1.0
2019-05-02,22.18,22.74,22.18,22.68,22.68,125059,0.0,1.0
2019-05-01,22.65,22.82,22.055,22.2,22.2,341504,0.0,1.0
2019-04-30,22.45,22.7397,22.25,22.65,22.65,177442,0.0,1.0
2019-04-29,21.96,22.77,21.96,22.36,22.36,189326,0.0,1.0
2019-04-26,21.64,22.26,21.64,21.75,21.75,162878,0.0,1.0
2019-04-25,22.4,22.69,21.48,21.62,21.62,194858,0.0,1.0
