timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-15,33.5,33.48,32.87,32.98,32.98,14511,0.0,1.0
2019-07-12,33.29,33.64,33.17,33.52,33.52,152479,0.0,1.0
2019-07-11,33.13,33.52,32.67,33.3,33.3,255861,0.0,1.0
2019-07-10,33.45,33.56,33.05,33.12,33.12,131218,0.0,1.0
2019-07-09,33.3,33.45,33.09,33.38,33.38,182448,0.0,1.0
2019-07-08,33.5,33.79,33.32,33.37,33.37,172470,0.0,1.0
2019-07-05,33.33,33.78,33.16,33.61,33.61,140219,0.0,1.0
2019-07-03,33.54,33.71,33.19,33.29,33.29,97586,0.0,1.0
2019-07-02,33.31,33.6,33.03,33.37,33.37,225513,0.0,1.0
2019-07-01,33.43,33.79,33.04,33.33,33.33,247810,0.0,1.0
2019-06-28,32.42,33.23,32.42,33.14,33.14,387648,0.0,1.0
2019-06-27,31.79,32.41,31.79,32.3,32.3,163728,0.0,1.0
2019-06-26,31.73,32.01,31.68,31.75,31.75,146465,0.0,1.0
2019-06-25,31.79,31.99,31.39,31.68,31.68,211288,0.0,1.0
2019-06-24,32.08,32.33,31.81,31.88,31.88,236877,0.0,1.0
2019-06-21,32.38,32.51,32.08,32.08,32.08,318495,0.0,1.0
2019-06-20,32.56,32.74,32.25,32.47,32.47,257644,0.0,1.0
2019-06-19,32.44,32.72,32.26,32.35,32.35,247565,0.0,1.0
2019-06-18,32.0,32.52,31.895,32.14,32.14,153894,0.0,1.0
2019-06-17,31.55,32.04,31.43,31.81,31.81,189705,0.0,1.0
2019-06-14,31.67,31.69,31.16,31.51,31.51,241836,0.0,1.0
2019-06-13,31.94,32.03,31.53,31.59,31.59,216867,0.0,1.0
2019-06-12,31.86,32.0,31.5,31.81,31.81,140294,0.0,1.0
2019-06-11,32.01,32.34,31.87,31.96,31.96,104387,0.0,1.0
2019-06-10,31.77,32.17,31.59,31.79,31.79,250095,0.0,1.0
2019-06-07,32.0,32.04,31.47,31.62,31.62,249720,0.0,1.0
2019-06-06,31.9,32.04,31.36,31.72,31.72,144163,0.0,1.0
2019-06-05,32.38,32.41,31.73,31.9,31.9,207784,0.0,1.0
2019-06-04,31.94,32.45,31.76,32.45,32.45,187183,0.0,1.0
2019-06-03,31.33,31.865,31.21,31.59,31.59,228107,0.0,1.0
2019-05-31,30.96,31.48,30.92,31.48,31.48,195283,0.04,1.0
2019-05-30,31.97,32.23,31.1802,31.37,31.3302,239623,0.0,1.0
2019-05-29,30.99,31.98,30.91,31.95,31.9095,278559,0.0,1.0
2019-05-28,31.36,31.5,31.02,31.11,31.0705,236557,0.0,1.0
2019-05-24,31.22,31.51,31.14,31.41,31.3701,118967,0.0,1.0
2019-05-23,31.4,31.45,30.67,31.05,31.0106,186353,0.0,1.0
2019-05-22,31.85,32.12,31.62,31.71,31.6698,112801,0.0,1.0
2019-05-21,32.31,32.63,31.93,31.95,31.9095,276093,0.0,1.0
2019-05-20,31.83,32.4,31.62,32.16,32.1192,391459,0.0,1.0
2019-05-17,31.96,32.33,31.75,31.82,31.7796,216506,0.0,1.0
2019-05-16,32.4,32.5,32.025,32.14,32.0992,187371,0.0,1.0
2019-05-15,32.22,32.53,32.03,32.43,32.3888,205720,0.0,1.0
2019-05-14,31.99,32.94,31.91,32.57,32.5287,399478,0.0,1.0
2019-05-13,33.75,33.97,31.49,31.93,31.8895,1396746,0.0,1.0
2019-05-10,34.52,34.93,34.3,34.74,34.6959,155506,0.0,1.0
2019-05-09,34.49,34.93,34.26,34.65,34.606,157229,0.0,1.0
2019-05-08,35.13,35.26,34.69,34.74,34.6959,162516,0.0,1.0
2019-05-07,35.46,35.63,34.95,35.1,35.0555,231344,0.0,1.0
2019-05-06,35.24,35.895,35.194,35.71,35.6647,165904,0.0,1.0
2019-05-03,35.4,35.8,35.4,35.55,35.5049,188421,0.0,1.0
2019-05-02,35.37,35.82,34.97,35.39,35.3451,196913,0.0,1.0
2019-05-01,35.7,36.16,35.2,35.37,35.3251,523510,0.0,1.0
2019-04-30,35.45,35.87,35.27,35.75,35.7046,401679,0.0,1.0
2019-04-29,35.15,35.59,35.07,35.27,35.2252,217320,0.0,1.0
2019-04-26,34.86,35.16,34.63,35.16,35.1154,271898,0.0,1.0
2019-04-25,34.98,35.255,34.6,34.88,34.8357,446443,0.0,1.0
2019-04-24,34.83,35.77,34.6826,35.37,35.3251,410420,0.0,1.0
2019-04-23,35.31,35.825,34.64,35.08,35.0355,464533,0.0,1.0
2019-04-22,35.44,35.92,35.325,35.87,35.8245,401237,0.0,1.0
2019-04-18,35.47,35.62,35.215,35.4,35.3551,212722,0.0,1.0
2019-04-17,36.03,36.105,35.5,35.6,35.5548,279009,0.0,1.0
2019-04-16,35.74,36.03,35.45,35.8,35.7546,607321,0.0,1.0
2019-04-15,35.11,35.71,35.11,35.7,35.6547,555776,0.0,1.0
2019-04-12,35.48,35.79,34.93,35.19,35.1453,224204,0.0,1.0
2019-04-11,34.91,35.36,34.85,35.15,35.1054,229235,0.0,1.0
2019-04-10,34.45,34.86,34.29,34.85,34.8058,392054,0.0,1.0
2019-04-09,34.28,34.61,34.09,34.19,34.1466,179950,0.0,1.0
2019-04-08,34.2,34.53,34.19,34.48,34.4362,200346,0.0,1.0
2019-04-05,34.13,34.47,33.91,34.36,34.3164,249484,0.0,1.0
2019-04-04,33.82,34.27,33.71,33.97,33.9269,157965,0.0,1.0
2019-04-03,33.8,34.0,33.48,33.6,33.5574,346494,0.0,1.0
2019-04-02,33.41,33.795,33.23,33.53,33.4874,435719,0.0,1.0
2019-04-01,33.12,33.67,33.05,33.4,33.3576,297631,0.0,1.0
2019-03-29,33.49,33.518,32.62,32.92,32.8782,361132,0.0,1.0
2019-03-28,32.77,33.24,32.77,33.23,33.1878,233910,0.0,1.0
2019-03-27,32.27,32.77,32.265,32.65,32.6086,301401,0.0,1.0
2019-03-26,31.86,32.36,31.78,32.34,32.299,294197,0.0,1.0
2019-03-25,31.04,31.79,31.04,31.55,31.51,357880,0.0,1.0
2019-03-22,31.33,31.59,30.62,31.15,31.1105,465091,0.0,1.0
2019-03-21,31.62,32.0,31.27,31.6,31.5599,314799,0.0,1.0
2019-03-20,32.35,32.39,31.75,31.75,31.7097,289338,0.0,1.0
2019-03-19,32.81,32.93,32.13,32.35,32.3089,259696,0.0,1.0
2019-03-18,32.56,32.88,32.52,32.74,32.6985,147068,0.0,1.0
2019-03-15,32.54,32.82,32.34,32.41,32.3689,347154,0.0,1.0
2019-03-14,32.54,32.74,32.39,32.5,32.4588,95698,0.0,1.0
2019-03-13,32.53,32.79,32.33,32.41,32.3689,430209,0.0,1.0
2019-03-12,32.65,32.81,32.21,32.38,32.3389,223066,0.0,1.0
2019-03-11,32.49,32.61,32.225,32.6,32.5586,241404,0.0,1.0
2019-03-08,32.11,32.6,32.105,32.44,32.3988,137454,0.0,1.0
2019-03-07,32.27,32.61,32.0,32.22,32.1791,450938,0.0,1.0
2019-03-06,32.76,33.01,32.27,32.5,32.4588,334581,0.0,1.0
2019-03-05,32.81,32.94,32.36,32.87,32.8283,189266,0.0,1.0
2019-03-04,32.6,33.26,32.6,32.85,32.8083,298043,0.0,1.0
2019-03-01,32.86,33.03,32.42,32.57,32.5287,320844,0.0,1.0
2019-02-28,32.51,32.76,32.49,32.66,32.6186,189457,0.04,1.0
2019-02-27,32.44,32.86,32.36,32.62,32.5388,164766,0.0,1.0
2019-02-26,32.57,32.9,32.39,32.44,32.3592,501189,0.0,1.0
2019-02-25,32.88,33.13,32.66,32.68,32.5986,299783,0.0,1.0
2019-02-22,32.6,32.81,32.43,32.72,32.6385,204151,0.0,1.0
2019-02-21,32.29,32.86,32.29,32.56,32.4789,194506,0.0,1.0
