timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-12-31,33.93,34.13,33.06,33.58,33.58,6146377,0.0,1.0
2018-12-28,33.31,34.04,33.16,33.68,33.68,589208,0.0,1.0
2018-12-27,32.99,33.37,31.97,33.1,33.1,1532362,0.0,1.0
2018-12-26,31.92,33.53,31.52,33.49,33.49,555249,0.0,1.0
2018-12-24,32.19,32.74,31.82,31.83,31.83,496744,0.0,1.0
2018-12-21,33.09,33.63,32.45,32.54,32.54,1372886,0.0,1.0
2018-12-20,32.13,33.3,32.13,32.98,32.98,937964,0.0,1.0
2018-12-19,32.71,33.62,32.15,32.35,32.35,798384,0.0,1.0
2018-12-18,33.34,33.82,32.17,32.7,32.7,786846,0.0,1.0
2018-12-17,33.49,34.13,33.08,33.24,33.24,1000951,0.0,1.0
2018-12-14,34.33,34.96,33.54,33.63,33.63,505715,0.0,1.0
2018-12-13,35.89,36.05,34.53,34.71,34.71,690948,0.0,1.0
2018-12-12,35.85,36.57,35.35,35.96,35.96,319009,0.0,1.0
2018-12-11,35.77,36.65,35.21,35.34,35.34,413563,0.0,1.0
2018-12-10,36.35,36.68,35.25,35.79,35.79,798152,0.0,1.0
2018-12-07,36.38,37.54,36.22,36.53,36.53,948320,0.0,1.0
2018-12-06,36.28,36.64,35.44,36.4,36.4,1194376,0.0,1.0
2018-12-04,39.75,39.86,36.76,37.06,37.06,583046,0.0,1.0
2018-12-03,40.13,40.47,39.68,40.03,40.03,487052,0.0,1.0
2018-11-30,39.03,39.83,39.03,39.64,39.64,475134,0.0,1.0
2018-11-29,39.02,39.41,38.64,39.24,39.24,345328,0.0,1.0
2018-11-28,38.8,39.39,38.03,39.31,39.31,383666,0.0,1.0
2018-11-27,38.43,39.03,38.43,38.78,38.78,491955,0.0,1.0
2018-11-26,37.87,38.71,37.76,38.63,38.63,795099,0.0,1.0
2018-11-23,37.66,37.94,37.36,37.47,37.47,192143,0.0,1.0
2018-11-21,37.6,38.35,37.14,37.86,37.86,354888,0.0,1.0
2018-11-20,38.06,38.52,37.25,37.5,37.5,481352,0.0,1.0
2018-11-19,38.94,39.45,38.35,38.53,38.53,288076,0.0,1.0
2018-11-16,38.95,39.145,38.69,38.99,38.99,621586,0.0,1.0
2018-11-15,38.01,39.27,37.7138,39.21,39.21,654467,0.0,1.0
2018-11-14,39.68,39.74,37.98,38.49,38.49,526849,0.0,1.0
2018-11-13,39.15,40.01,39.14,39.35,39.35,633582,0.0,1.0
2018-11-12,39.37,39.88,39.06,39.12,39.12,522073,0.0,1.0
2018-11-09,39.9,40.31,38.99,39.19,39.19,464179,0.0,1.0
2018-11-08,39.42,40.24,39.42,39.63,39.63,568341,0.0,1.0
2018-11-07,39.8,40.26,39.06,39.75,39.75,643090,0.0,1.0
2018-11-06,39.5,40.0,39.15,39.63,39.63,570105,0.0,1.0
2018-11-05,39.4,39.93,39.36,39.61,39.61,531834,0.0,1.0
2018-11-02,39.99,40.64,39.215,39.55,39.55,413548,0.0,1.0
2018-11-01,39.16,40.02,39.16,39.78,39.78,404625,0.0,1.0
2018-10-31,39.15,39.94,39.07,39.13,39.13,423924,0.0,1.0
2018-10-30,38.32,38.91,37.81,38.62,38.62,579581,0.0,1.0
