timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-15,11.8,11.792,11.61,11.7,11.7,401971,0.0,1.0
2019-07-12,11.66,11.78,11.575,11.75,11.75,1031084,0.0,1.0
2019-07-11,11.64,11.71,11.46,11.58,11.58,2021041,0.0,1.0
2019-07-10,11.71,11.725,11.56,11.6,11.6,964711,0.0,1.0
2019-07-09,11.57,11.72,11.57,11.71,11.71,940849,0.0,1.0
2019-07-08,11.74,11.785,11.61,11.67,11.67,1002304,0.0,1.0
2019-07-05,11.72,11.88,11.72,11.82,11.82,1097068,0.0,1.0
2019-07-03,11.57,11.64,11.51,11.59,11.59,2126423,0.0,1.0
2019-07-02,11.73,11.78,11.46,11.55,11.55,1534907,0.0,1.0
2019-07-01,11.88,11.96,11.705,11.82,11.82,2730629,0.0,1.0
2019-06-28,11.62,11.78,11.53,11.77,11.77,3031706,0.0,1.0
2019-06-27,11.35,11.53,11.35,11.48,11.48,2961661,0.0,1.0
2019-06-26,11.38,11.47,11.31,11.33,11.33,1732439,0.0,1.0
2019-06-25,11.24,11.34,11.07,11.29,11.29,3592529,0.0,1.0
2019-06-24,11.47,11.57,11.23,11.23,11.23,1942902,0.0,1.0
2019-06-21,11.4,11.99,11.37,11.55,11.55,7679125,0.0,1.0
2019-06-20,11.45,11.45,11.16,11.39,11.39,1764891,0.0,1.0
2019-06-19,11.48,11.635,11.37,11.4,11.4,1761091,0.0,1.0
2019-06-18,11.25,11.51,11.19,11.41,11.41,1927440,0.0,1.0
2019-06-17,11.46,11.51,11.21,11.26,11.26,1745557,0.0,1.0
2019-06-14,11.43,11.485,11.31,11.45,11.45,1287155,0.0,1.0
2019-06-13,11.56,11.61,11.4,11.43,11.43,1471755,0.0,1.0
2019-06-12,11.54,11.62,11.45,11.5,11.5,1072608,0.0,1.0
2019-06-11,11.5,11.65,11.5,11.57,11.57,910901,0.0,1.0
2019-06-10,11.58,11.68,11.43,11.47,11.47,1611881,0.0,1.0
2019-06-07,11.41,11.5,11.36,11.44,11.44,2298861,0.0,1.0
2019-06-06,11.36,11.505,11.275,11.48,11.48,1677247,0.0,1.0
2019-06-05,11.46,11.48,11.26,11.39,11.39,1334126,0.0,1.0
2019-06-04,11.21,11.48,11.15,11.48,11.48,1722418,0.0,1.0
2019-06-03,10.95,11.18,10.92,11.03,11.03,2633166,0.0,1.0
2019-05-31,11.05,11.125,10.95,11.0,11.0,1665740,0.0,1.0
2019-05-30,11.46,11.58,11.08,11.22,11.22,1387404,0.12,1.0
2019-05-29,11.44,11.6,11.37,11.57,11.4476,2021946,0.0,1.0
2019-05-28,11.6,11.67,11.56,11.56,11.4377,2755297,0.0,1.0
2019-05-24,11.46,11.69,11.42,11.66,11.5366,1767315,0.0,1.0
2019-05-23,11.5,11.51,11.25,11.39,11.2695,1630961,0.0,1.0
2019-05-22,11.6,11.66,11.52,11.58,11.4575,1895666,0.0,1.0
2019-05-21,11.59,11.7,11.56,11.65,11.5267,1485730,0.0,1.0
2019-05-20,11.45,11.59,11.44,11.52,11.3981,1029000,0.0,1.0
2019-05-17,11.42,11.62,11.38,11.46,11.3387,4165589,0.0,1.0
2019-05-16,11.44,11.59,11.425,11.52,11.3981,1459131,0.0,1.0
2019-05-15,11.52,11.59,11.2599,11.38,11.2596,2269780,0.0,1.0
2019-05-14,11.45,11.63,11.23,11.57,11.4476,5784853,0.0,1.0
2019-05-13,11.77,11.7993,11.39,11.47,11.3486,2601301,0.0,1.0
2019-05-10,11.94,12.025,11.81,11.99,11.8631,1706025,0.0,1.0
2019-05-09,11.86,12.025,11.76,11.98,11.8532,1274779,0.0,1.0
2019-05-08,12.18,12.195,11.99,12.0,11.873,1258484,0.0,1.0
2019-05-07,12.15,12.3,12.11,12.18,12.0511,1406989,0.0,1.0
2019-05-06,12.14,12.41,12.11,12.32,12.1896,1513035,0.0,1.0
2019-05-03,12.19,12.41,12.165,12.36,12.2292,2503676,0.0,1.0
2019-05-02,12.05,12.21,11.99,12.15,12.0214,1547941,0.0,1.0
2019-05-01,12.14,12.24,11.9,12.03,11.9027,2423388,0.0,1.0
2019-04-30,12.23,12.28,12.06,12.13,12.0016,2292079,0.0,1.0
2019-04-29,12.04,12.32,11.97,12.21,12.0808,1847355,0.0,1.0
2019-04-26,11.97,12.04,11.85,12.01,11.8829,1614040,0.0,1.0
2019-04-25,11.95,12.01,11.8,11.91,11.784,1731494,0.0,1.0
2019-04-24,12.0,12.06,11.885,11.97,11.8433,2549589,0.0,1.0
2019-04-23,11.46,12.0,11.25,11.99,11.8631,4704978,0.0,1.0
2019-04-22,11.28,11.295,11.08,11.11,10.9924,1679280,0.0,1.0
2019-04-18,11.46,11.48,11.23,11.27,11.1507,1342576,0.0,1.0
2019-04-17,11.49,11.51,11.375,11.46,11.3387,1173926,0.0,1.0
2019-04-16,11.29,11.47,11.19,11.47,11.3486,1298388,0.0,1.0
2019-04-15,11.5,11.55,11.24,11.26,11.1408,1055282,0.0,1.0
2019-04-12,11.52,11.6,11.31,11.52,11.3981,1539065,0.0,1.0
2019-04-11,11.28,11.39,11.24,11.35,11.2299,2002668,0.0,1.0
2019-04-10,11.06,11.205,10.95,11.19,11.0716,1299840,0.0,1.0
2019-04-09,11.27,11.31,11.05,11.07,10.9529,1355540,0.0,1.0
2019-04-08,11.33,11.44,11.29,11.34,11.22,1392842,0.0,1.0
2019-04-05,11.33,11.38,11.22,11.34,11.22,1971789,0.0,1.0
2019-04-04,11.05,11.3,11.03,11.29,11.1705,1991047,0.0,1.0
2019-04-03,11.09,11.1616,10.9465,11.03,10.9133,2178999,0.0,1.0
2019-04-02,10.93,11.06,10.87,10.94,10.8242,1924094,0.0,1.0
2019-04-01,10.71,10.97,10.665,10.96,10.844,2131281,0.0,1.0
2019-03-29,10.83,10.865,10.565,10.6,10.4878,2597617,0.0,1.0
2019-03-28,10.66,10.77,10.57,10.74,10.6263,2138781,0.0,1.0
2019-03-27,10.48,10.71,10.48,10.63,10.5175,2978667,0.0,1.0
2019-03-26,10.4,10.56,10.32,10.55,10.4384,3709706,0.0,1.0
2019-03-25,10.42,10.51,10.225,10.29,10.1811,5563372,0.0,1.0
2019-03-22,11.01,11.0149,10.41,10.43,10.3196,4336689,0.0,1.0
2019-03-21,11.13,11.19,11.0,11.08,10.9628,5969105,0.0,1.0
2019-03-20,11.51,11.69,11.19,11.21,11.0914,2521089,0.0,1.0
2019-03-19,12.09,12.09,11.63,11.64,11.5168,1391639,0.0,1.0
2019-03-18,11.89,12.05,11.87,12.01,11.8829,1383433,0.0,1.0
2019-03-15,11.95,11.95,11.76,11.85,11.7246,4896327,0.0,1.0
2019-03-14,11.75,11.88,11.72,11.85,11.7246,1807564,0.0,1.0
2019-03-13,11.77,11.84,11.7,11.73,11.6059,2575567,0.0,1.0
2019-03-12,11.74,11.78,11.62,11.71,11.5861,1906709,0.0,1.0
2019-03-11,11.65,11.81,11.6,11.71,11.5861,2470225,0.0,1.0
2019-03-08,11.52,11.67,11.48,11.59,11.4674,1722295,0.0,1.0
2019-03-07,11.82,11.865,11.565,11.62,11.497,2666752,0.0,1.0
2019-03-06,12.08,12.195,11.85,11.88,11.7543,2591892,0.0,1.0
2019-03-05,12.17,12.205,11.98,12.12,11.9917,2298966,0.0,1.0
2019-03-04,12.13,12.25,12.04,12.17,12.0412,1860955,0.12,1.0
2019-03-01,12.33,12.44,12.18,12.28,12.0314,1694075,0.0,1.0
2019-02-28,12.3,12.35,12.23,12.24,11.9922,1235926,0.0,1.0
2019-02-27,12.2,12.3,12.12,12.26,12.0118,1712306,0.0,1.0
2019-02-26,12.24,12.33,12.12,12.13,11.8845,1963054,0.0,1.0
2019-02-25,12.44,12.49,12.26,12.28,12.0314,3193195,0.0,1.0
2019-02-22,12.35,12.44,12.26,12.33,12.0804,1679772,0.0,1.0
2019-02-21,12.46,12.48,12.23,12.35,12.1,2483789,0.0,1.0
