timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-15,28.52,28.33,28.06,28.225,28.225,7771,0.0,1.0
2019-07-12,27.93,28.65,27.87,28.55,28.55,64867,0.0,1.0
2019-07-11,27.74,28.07,27.72,27.97,27.97,46251,0.0,1.0
2019-07-10,28.14,28.14,27.4315,27.71,27.71,52401,0.0,1.0
2019-07-09,28.1,28.18,27.79,28.13,28.13,22175,0.0,1.0
2019-07-08,28.48,28.55,28.03,28.18,28.18,38479,0.0,1.0
2019-07-05,28.36,28.67,28.16,28.65,28.65,35440,0.0,1.0
2019-07-03,28.06,28.45,28.05,28.19,28.19,25868,0.0,1.0
2019-07-02,28.38,28.38,27.79,28.01,28.01,47409,0.0,1.0
2019-07-01,28.05,28.45,27.72,28.38,28.38,56233,0.0,1.0
2019-06-28,27.8,28.15,27.68,27.86,27.86,130975,0.0,1.0
2019-06-27,27.21,27.65,27.18,27.63,27.63,40245,0.0,1.0
2019-06-26,27.57,27.85,27.21,27.24,27.24,53946,0.0,1.0
2019-06-25,27.08,27.73,26.95,27.55,27.55,48520,0.0,1.0
2019-06-24,26.95,27.46,26.95,27.1,27.1,124722,0.0,1.0
2019-06-21,27.05,27.46,26.96,27.02,27.02,59181,0.0,1.0
2019-06-20,27.48,27.48,26.97,27.25,27.25,27080,0.0,1.0
2019-06-19,27.48,27.97,27.12,27.23,27.23,33382,0.0,1.0
2019-06-18,27.02,27.8687,27.02,27.45,27.45,39331,0.0,1.0
2019-06-17,27.04,27.28,26.92,27.02,27.02,69663,0.0,1.0
2019-06-14,27.02,27.35,26.95,27.04,27.04,62942,0.0,1.0
2019-06-13,27.09,27.28,26.81,27.02,27.02,82528,0.0,1.0
2019-06-12,27.25,27.46,26.97,27.01,27.01,62199,0.0,1.0
2019-06-11,27.41,27.77,27.155,27.34,27.34,45802,0.0,1.0
2019-06-10,27.31,27.8,27.21,27.25,27.25,32728,0.0,1.0
2019-06-07,27.23,27.36,27.0572,27.16,27.16,32850,0.0,1.0
2019-06-06,27.26,27.49,27.09,27.25,27.25,52534,0.0,1.0
2019-06-05,27.21,27.69,26.74,27.26,27.26,56048,0.0,1.0
2019-06-04,26.72,27.33,26.66,27.3,27.3,57421,0.0,1.0
2019-06-03,26.25,26.64,26.06,26.38,26.38,76884,0.0,1.0
2019-05-31,26.76,26.8587,26.13,26.25,26.25,64255,0.0,1.0
2019-05-30,27.8,27.8467,26.98,27.18,27.18,75430,0.0,1.0
2019-05-29,27.5,27.93,27.04,27.8,27.8,50027,0.0,1.0
2019-05-28,28.14,28.14,27.56,27.67,27.67,88834,0.0,1.0
2019-05-24,27.71,28.12,27.66,28.05,28.05,38574,0.0,1.0
2019-05-23,27.52,27.57,27.28,27.54,27.54,83846,0.0,1.0
2019-05-22,27.81,27.99,27.72,27.89,27.89,43354,0.0,1.0
2019-05-21,27.88,28.03,27.745,27.97,27.97,46474,0.0,1.0
2019-05-20,27.68,27.99,27.58,27.7,27.7,80738,0.0,1.0
2019-05-17,27.94,28.177,27.53,27.77,27.77,111843,0.0,1.0
2019-05-16,27.05,27.255,27.0,27.18,27.18,57120,0.0,1.0
2019-05-15,26.74,27.03,26.31,26.97,26.97,56225,0.0,1.0
2019-05-14,26.25,26.99,26.15,26.91,26.91,53836,0.04,1.0
2019-05-13,27.3,27.35,26.0912,26.22,26.1811,67426,0.0,1.0
2019-05-10,27.7,27.82,27.25,27.79,27.7488,45770,0.0,1.0
2019-05-09,27.5,28.215,27.34,27.86,27.8186,72611,0.0,1.0
2019-05-08,27.69,28.1,27.42,27.45,27.4093,51603,0.0,1.0
2019-05-07,28.58,28.6328,27.79,27.91,27.8686,48637,0.0,1.0
2019-05-06,28.45,29.08,28.36,28.86,28.8172,42583,0.0,1.0
2019-05-03,28.12,28.98,28.09,28.87,28.8272,44752,0.0,1.0
2019-05-02,27.47,28.18,27.36,28.08,28.0383,60220,0.0,1.0
2019-05-01,27.72,27.93,27.05,27.49,27.4492,154230,0.0,1.0
2019-04-30,28.98,29.0,27.58,27.65,27.609,122648,0.0,1.0
2019-04-29,28.8,29.63,28.8,29.09,29.0468,65082,0.0,1.0
2019-04-26,28.25,29.0,28.25,28.93,28.8871,67385,0.0,1.0
2019-04-25,27.82,28.6,27.82,28.41,28.3678,128292,0.0,1.0
2019-04-24,28.14,28.44,27.76,28.36,28.3179,55778,0.0,1.0
2019-04-23,27.8,28.39,27.71,28.23,28.1881,66793,0.0,1.0
2019-04-22,27.76,28.01,27.76,27.84,27.7987,78575,0.0,1.0
2019-04-18,28.14,28.23,27.8554,27.99,27.9485,70496,0.0,1.0
2019-04-17,28.29,28.54,27.77,28.29,28.248,89245,0.0,1.0
2019-04-16,27.52,28.34,27.4905,28.16,28.1182,61113,0.0,1.0
2019-04-15,27.84,27.88,27.15,27.52,27.4792,53015,0.0,1.0
2019-04-12,28.34,28.55,27.59,27.89,27.8486,67182,0.0,1.0
2019-04-11,27.35,28.1599,27.35,28.11,28.0683,80221,0.0,1.0
2019-04-10,27.49,27.73,26.72,27.39,27.3493,165076,0.0,1.0
2019-04-09,27.64,28.51,27.05,27.64,27.599,250314,0.0,1.0
2019-04-08,30.0,30.12,27.4,27.75,27.7088,358105,0.0,1.0
2019-04-05,30.13,30.48,29.86,30.25,30.2051,47344,0.0,1.0
2019-04-04,29.45,30.23,29.42,30.15,30.1053,39338,0.0,1.0
2019-04-03,29.89,29.94,29.46,29.55,29.5061,31156,0.0,1.0
2019-04-02,29.87,30.11,29.55,29.6,29.5561,40202,0.0,1.0
2019-04-01,29.29,29.92,29.0,29.88,29.8357,90801,0.0,1.0
2019-03-29,29.54,29.61,28.7258,29.01,28.9669,51942,0.0,1.0
2019-03-28,29.15,29.37,28.77,29.23,29.1866,37961,0.0,1.0
2019-03-27,28.5,29.27,28.33,29.09,29.0468,67933,0.0,1.0
2019-03-26,27.79,28.89,27.7,28.71,28.6674,73685,0.0,1.0
2019-03-25,27.47,27.97,27.18,27.65,27.609,43884,0.0,1.0
2019-03-22,28.45,28.46,27.25,27.49,27.4492,72281,0.0,1.0
2019-03-21,29.1,29.46,28.62,28.73,28.6874,111000,0.0,1.0
2019-03-20,29.76,30.01,29.24,29.24,29.1966,96478,0.0,1.0
2019-03-19,31.32,31.32,29.82,29.95,29.9055,41802,0.0,1.0
2019-03-18,30.91,31.25,30.87,31.14,31.0938,54055,0.0,1.0
2019-03-15,30.92,31.18,30.765,30.87,30.8242,122685,0.0,1.0
2019-03-14,30.74,31.0,30.65,30.9,30.8541,44823,0.0,1.0
2019-03-13,30.28,30.86,30.08,30.71,30.6644,105870,0.0,1.0
2019-03-12,30.21,30.305,29.75,30.09,30.0453,139918,0.0,1.0
2019-03-11,30.95,30.95,29.5,29.99,29.9455,231165,0.0,1.0
2019-03-08,31.01,31.32,30.925,31.11,31.0638,46332,0.0,1.0
2019-03-07,31.27,31.75,31.05,31.18,31.1337,45413,0.0,1.0
2019-03-06,32.78,32.82,31.65,31.65,31.603,53199,0.0,1.0
2019-03-05,32.6,33.13,32.22,32.87,32.8212,57483,0.0,1.0
2019-03-04,33.12,33.39,32.59,32.61,32.5616,48308,0.0,1.0
2019-03-01,32.98,33.34,32.6901,33.28,33.2306,80840,0.0,1.0
2019-02-28,32.93,33.065,32.7,32.8,32.7513,70370,0.0,1.0
2019-02-27,32.98,33.105,32.79,32.89,32.8412,78179,0.0,1.0
2019-02-26,33.48,33.69,32.99,33.0,32.951,46795,0.0,1.0
2019-02-25,34.21,34.29,33.52,33.54,33.4902,32076,0.0,1.0
2019-02-22,34.05,34.05,33.51,33.98,33.9296,72216,0.0,1.0
2019-02-21,34.37,34.65,33.85,33.97,33.9196,55746,0.0,1.0
