timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-15,35.94,35.75,35.18,35.18,35.18,17152,0.0,1.0
2019-07-12,35.4,36.02,35.4,35.91,35.91,185357,0.0,1.0
2019-07-11,35.42,35.42,34.735,35.35,35.35,199817,0.0,1.0
2019-07-10,35.55,35.68,35.03,35.19,35.19,186518,0.0,1.0
2019-07-09,35.27,35.57,35.05,35.48,35.48,175261,0.0,1.0
2019-07-08,35.93,36.16,35.2,35.41,35.41,311223,0.0,1.0
2019-07-05,35.88,36.312,35.81,36.16,36.16,139455,0.0,1.0
2019-07-03,35.39,35.7,35.24,35.58,35.58,103279,0.0,1.0
2019-07-02,35.56,35.61,35.03,35.28,35.28,217172,0.0,1.0
2019-07-01,36.02,36.44,35.64,35.73,35.73,432607,0.0,1.0
2019-06-28,35.5,36.21,35.145,35.72,35.72,428434,0.0,1.0
2019-06-27,34.45,35.1,34.43,35.08,35.08,232077,0.0,1.0
2019-06-26,34.6,35.09,34.37,34.42,34.42,419798,0.0,1.0
2019-06-25,34.37,34.72,33.69,34.44,34.44,499354,0.0,1.0
2019-06-24,34.43,34.86,34.29,34.5,34.5,349072,0.0,1.0
2019-06-21,34.31,34.885,34.28,34.43,34.43,458458,0.0,1.0
2019-06-20,34.17,34.39,33.69,34.35,34.35,283124,0.0,1.0
2019-06-19,33.86,34.41,33.86,33.99,33.99,475816,0.0,1.0
2019-06-18,32.9,33.91,32.8,33.75,33.75,285675,0.0,1.0
2019-06-17,33.16,33.32,32.84,32.87,32.87,228131,0.0,1.0
2019-06-14,32.94,33.385,32.7,33.19,33.19,154896,0.0,1.0
2019-06-13,32.9,33.18,32.83,32.93,32.93,155787,0.0,1.0
2019-06-12,32.84,32.94,32.485,32.75,32.75,138759,0.0,1.0
2019-06-11,33.09,33.53,32.755,32.95,32.95,336051,0.0,1.0
2019-06-10,32.48,33.27,32.46,32.89,32.89,191675,0.0,1.0
2019-06-07,32.19,32.53,32.1,32.36,32.36,233464,0.0,1.0
2019-06-06,32.51,32.72,31.9005,32.4,32.4,195620,0.0,1.0
2019-06-05,32.67,32.86,31.94,32.57,32.57,365592,0.0,1.0
2019-06-04,31.87,32.98,31.71,32.8,32.8,323573,0.0,1.0
2019-06-03,30.96,31.7,30.74,31.51,31.51,434193,0.0,1.0
2019-05-31,31.3,31.52,30.975,31.07,31.07,316498,0.0,1.0
2019-05-30,32.5,32.75,31.33,31.79,31.79,196519,0.0,1.0
2019-05-29,31.96,32.5,31.69,32.46,32.46,282664,0.0,1.0
2019-05-28,32.85,32.85,32.23,32.24,32.24,141195,0.0,1.0
2019-05-24,32.58,32.98,32.57,32.95,32.95,133558,0.0,1.0
2019-05-23,32.99,32.99,31.94,32.42,32.42,238093,0.0,1.0
2019-05-22,33.75,33.79,33.28,33.39,33.39,217417,0.0,1.0
2019-05-21,33.84,34.26,33.76,33.92,33.92,263896,0.0,1.0
2019-05-20,33.53,34.09,33.53,33.75,33.75,243318,0.0,1.0
2019-05-17,33.81,34.46,33.64,33.76,33.76,291197,0.0,1.0
2019-05-16,33.74,34.31,33.55,34.13,34.13,412401,0.0,1.0
2019-05-15,33.78,33.82,32.94,33.48,33.48,216517,0.0,1.0
2019-05-14,33.28,34.33,33.25,34.22,34.22,256766,0.0,1.0
2019-05-13,34.64,34.71,33.13,33.3,33.3,498273,0.0,1.0
2019-05-10,35.1,35.45,34.69,35.26,35.26,230153,0.0,1.0
2019-05-09,34.7,35.43,34.58,35.31,35.31,362021,0.3,1.0
2019-05-08,35.4,35.68,35.13,35.24,34.9431,301678,0.0,1.0
2019-05-07,35.71,35.85,35.16,35.47,35.1712,291992,0.0,1.0
2019-05-06,35.45,36.18,35.11,36.09,35.786,280532,0.0,1.0
2019-05-03,35.44,36.09,35.43,35.91,35.6075,224344,0.0,1.0
2019-05-02,34.82,35.61,34.82,35.41,35.1117,300106,0.0,1.0
2019-05-01,35.19,35.55,34.41,34.79,34.4969,691831,0.0,1.0
2019-04-30,35.3,35.5,34.91,35.17,34.8737,413472,0.0,1.0
2019-04-29,34.7,35.52,34.7,35.26,34.9629,497918,0.0,1.0
2019-04-26,33.5,34.51,33.275,34.48,34.1895,303656,0.0,1.0
2019-04-25,33.59,34.095,33.14,33.61,33.3268,235336,0.0,1.0
2019-04-24,33.88,34.23,33.59,34.0,33.7136,176955,0.0,1.0
2019-04-23,33.23,34.02,33.07,33.95,33.664,259805,0.0,1.0
2019-04-22,33.83,33.87,33.18,33.28,32.9996,238497,0.0,1.0
2019-04-18,34.47,34.47,33.69,33.85,33.5648,265930,0.0,1.0
2019-04-17,34.23,34.54,33.78,34.51,34.2193,260664,0.0,1.0
2019-04-16,33.5,34.19,33.37,34.17,33.8821,326266,0.0,1.0
2019-04-15,34.09,34.33,33.25,33.37,33.0889,184071,0.0,1.0
2019-04-12,33.59,34.16,33.3,34.08,33.7929,309372,0.0,1.0
2019-04-11,33.13,33.35,32.88,33.12,32.841,242964,0.0,1.0
2019-04-10,32.65,33.0,32.34,33.0,32.722,320900,0.0,1.0
2019-04-09,33.15,33.28,32.59,32.68,32.4047,258106,0.0,1.0
2019-04-08,32.99,33.4,32.99,33.27,32.9897,323940,0.0,1.0
2019-04-05,33.16,33.16,32.79,33.13,32.8509,306266,0.0,1.0
2019-04-04,32.67,33.25,32.61,33.05,32.7716,542092,0.0,1.0
2019-04-03,32.82,33.21,32.68,32.93,32.6526,223160,0.0,1.0
2019-04-02,32.6,32.67,32.35,32.42,32.1469,301640,0.0,1.0
2019-04-01,31.93,32.7,31.785,32.68,32.4047,367946,0.0,1.0
2019-03-29,31.94,31.99,31.51,31.59,31.3239,562881,0.0,1.0
2019-03-28,31.63,31.84,31.1,31.6,31.3338,406314,0.0,1.0
2019-03-27,31.04,31.74,30.83,31.51,31.2445,508260,0.0,1.0
2019-03-26,30.96,31.39,30.76,31.13,30.8677,587013,0.0,1.0
2019-03-25,30.84,31.22,30.48,30.82,30.5604,361871,0.0,1.0
2019-03-22,31.81,32.05,30.59,30.83,30.5703,501226,0.0,1.0
2019-03-21,33.0,33.15,32.19,32.2,31.9287,793303,0.0,1.0
2019-03-20,34.25,34.43,33.19,33.19,32.9104,412822,0.0,1.0
2019-03-19,35.59,35.68,34.17,34.2,33.9119,288326,0.0,1.0
2019-03-18,35.05,35.63,35.0,35.39,35.0919,454925,0.0,1.0
2019-03-15,34.82,35.13,34.0,34.91,34.6159,1448725,0.0,1.0
2019-03-14,34.99,35.22,34.95,35.06,34.7646,263691,0.0,1.0
2019-03-13,35.17,35.42,34.97,35.03,34.7349,313630,0.0,1.0
2019-03-12,35.21,35.42,34.73,34.99,34.6952,305371,0.0,1.0
2019-03-11,35.08,35.25,34.74,35.14,34.844,369752,0.0,1.0
