timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-12,14.05,14.26,14.05,14.17,14.17,4508,0.0,1.0
2019-07-11,14.28,14.28,14.0083,14.12,14.12,2456,0.0,1.0
2019-07-10,13.95,14.33,13.95,14.15,14.15,2070,0.0,1.0
2019-07-09,14.3,14.39,13.93,13.95,13.95,6815,0.0,1.0
2019-07-08,14.1,14.3,14.1,14.3,14.3,9750,0.0,1.0
2019-07-05,14.28,14.48,14.15,14.15,14.15,6320,0.0,1.0
2019-07-03,14.07,14.48,14.0,14.48,14.48,2610,0.0,1.0
2019-07-02,13.3,14.1356,13.3,13.98,13.98,34355,0.0,1.0
2019-07-01,13.3,13.5,13.15,13.15,13.15,5616,0.0,1.0
2019-06-28,13.26,13.4273,13.26,13.3,13.3,1248,0.0,1.0
2019-06-27,13.5,13.7299,13.27,13.38,13.38,6726,0.0,1.0
2019-06-26,14.51,14.8284,13.32,13.32,13.32,31429,0.0,1.0
2019-06-25,14.04,14.67,14.0,14.51,14.51,27853,0.0,1.0
2019-06-24,12.88,14.35,12.88,13.79,13.79,63439,0.0,1.0
2019-06-21,12.2,12.65,12.2,12.65,12.65,27230,0.0,1.0
2019-06-20,12.21,12.48,12.18,12.18,12.18,10664,0.0,1.0
2019-06-19,12.15,12.48,12.15,12.24,12.24,8692,0.0,1.0
2019-06-18,12.14,12.62,12.14,12.25,12.25,8238,0.0,1.0
2019-06-17,12.0299,12.175,11.99,11.99,11.99,1535,0.0,1.0
2019-06-14,12.32,12.32,11.8188,12.16,12.16,12100,0.0,1.0
2019-06-13,12.38,12.45,12.0329,12.4,12.4,17255,0.0,1.0
2019-06-12,12.5,12.5,12.25,12.25,12.25,4695,0.0,1.0
2019-06-11,12.5,12.5001,12.2604,12.41,12.41,12960,0.0,1.0
2019-06-10,12.55,12.66,12.35,12.5,12.5,23933,0.0,1.0
2019-06-07,12.5701,12.5701,12.4338,12.5,12.5,10398,0.0,1.0
2019-06-06,12.75,12.79,12.5011,12.65,12.65,7516,0.0,1.0
2019-06-05,12.77,12.77,12.4101,12.7,12.7,4157,0.0,1.0
2019-06-04,12.79,12.79,12.5,12.75,12.75,3011,0.0,1.0
2019-06-03,12.41,12.9,12.05,12.05,12.05,18342,0.0,1.0
2019-05-31,12.5,12.84,12.328,12.3995,12.3995,9421,0.0,1.0
2019-05-30,12.4613,12.81,12.461,12.54,12.54,8100,0.0,1.0
2019-05-29,12.35,12.48,12.3,12.4218,12.4218,5093,0.0,1.0
2019-05-28,12.44,12.55,12.25,12.48,12.48,4487,0.0,1.0
2019-05-24,12.9,12.98,12.32,12.5,12.5,33998,0.0,1.0
2019-05-23,12.85,12.9,12.0301,12.89,12.89,24236,0.0,1.0
2019-05-22,12.89,13.1298,12.35,13.1298,13.1298,24905,0.0,1.0
2019-05-21,13.2,13.2,12.8376,12.92,12.92,2822,0.0,1.0
2019-05-20,13.12,13.27,12.81,13.1,13.1,9655,0.0,1.0
2019-05-17,13.3,13.8,13.21,13.32,13.32,16311,0.0,1.0
2019-05-16,13.13,13.29,12.95,13.29,13.29,21411,0.0,1.0
2019-05-15,13.03,13.35,13.02,13.23,13.23,6183,0.0,1.0
2019-05-14,13.16,13.27,13.06,13.14,13.14,14984,0.0,1.0
2019-05-13,13.85,13.85,13.14,13.16,13.16,11261,0.0,1.0
2019-05-10,14.34,14.35,13.4,13.88,13.88,18771,0.0,1.0
2019-05-09,14.91,15.156,13.8188,14.2,14.2,26859,0.0,1.0
2019-05-08,15.1,15.7285,14.6312,14.87,14.87,53234,0.0,1.0
2019-05-07,14.2,15.47,14.1607,15.1,15.1,50339,0.0,1.0
2019-05-06,13.98,14.2,13.86,14.2,14.2,14836,0.0,1.0
2019-05-03,13.19,14.0,13.19,13.98,13.98,26898,0.0,1.0
2019-05-02,12.75,13.99,12.73,13.15,13.15,50224,0.0,1.0
2019-05-01,10.5,14.45,10.5,13.0,13.0,250481,0.0,1.0
2019-04-30,9.39,9.8,9.39,9.5,9.5,28746,0.0,1.0
2019-04-29,8.95,9.5,8.95,9.49,9.49,20241,0.0,1.0
2019-04-26,8.75,9.0,8.75,9.0,9.0,10703,0.0,1.0
2019-04-25,8.89,8.9,8.8,8.825,8.825,857,0.0,1.0
2019-04-24,8.76,8.95,8.75,8.95,8.95,5342,0.0,1.0
2019-04-23,8.84,8.94,8.81,8.81,8.81,1278,0.0,1.0
2019-04-22,8.65,8.97,8.603,8.92,8.92,21489,0.0,1.0
2019-04-18,8.43,8.72,8.43,8.56,8.56,7739,0.0,1.0
2019-04-17,8.2,8.51,8.0742,8.51,8.51,10933,0.0,1.0
2019-04-16,7.7717,8.24,7.7717,8.0829,8.0829,19737,0.0,1.0
2019-04-15,7.69,7.85,7.671,7.8024,7.8024,6783,0.0,1.0
2019-04-12,7.71,7.8599,7.71,7.7581,7.7581,4650,0.0,1.0
2019-04-11,7.8428,7.8428,7.52,7.71,7.71,2000,0.0,1.0
2019-04-10,7.81,7.87,7.7128,7.87,7.87,2575,0.0,1.0
2019-04-09,7.61,7.9836,7.61,7.8782,7.8782,25163,0.0,1.0
2019-04-08,7.1916,7.61,7.1916,7.5712,7.5712,8795,0.0,1.0
2019-04-05,7.2,7.29,7.1715,7.29,7.29,1200,0.0,1.0
2019-04-04,7.121,7.2857,7.121,7.2857,7.2857,5760,0.0,1.0
