timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-15,174.37,174.36,173.1,173.58,173.58,123264,0.0,1.0
2019-07-12,173.55,174.21,172.38,174.07,174.07,598905,0.0,1.0
2019-07-11,171.91,173.96,170.9572,173.77,173.77,370164,0.0,1.0
2019-07-10,173.75,174.67,171.01,171.3,171.3,601440,0.0,1.0
2019-07-09,172.2,174.55,171.62,174.24,174.24,663151,0.0,1.0
2019-07-08,173.24,173.95,172.51,173.03,173.03,567767,0.0,1.0
2019-07-05,172.6,174.93,172.25,174.01,174.01,598406,0.0,1.0
2019-07-03,170.62,171.79,170.09,171.55,171.55,285101,0.0,1.0
2019-07-02,170.5,171.795,169.03,170.08,170.08,407101,0.0,1.0
2019-07-01,171.25,172.345,169.44,170.81,170.81,631459,0.0,1.0
2019-06-28,166.93,170.35,166.93,170.07,170.07,1296567,0.0,1.0
2019-06-27,166.66,168.8,166.305,168.72,168.72,702354,0.0,1.0
2019-06-26,166.29,167.22,165.4,166.02,166.02,527546,0.0,1.0
2019-06-25,165.68,166.57,163.84,165.48,165.48,571321,0.0,1.0
2019-06-24,165.21,167.85,164.0,165.45,165.45,495268,0.0,1.0
2019-06-21,165.92,167.02,165.48,165.51,165.51,1266723,0.0,1.0
2019-06-20,166.36,166.734,162.46,165.83,165.83,587750,0.0,1.0
2019-06-19,167.74,169.53,165.6,165.86,165.86,497659,0.0,1.0
2019-06-18,164.85,167.94,164.33,166.99,166.99,421816,0.0,1.0
2019-06-17,168.15,169.11,164.55,164.94,164.94,428998,0.0,1.0
2019-06-14,167.04,168.23,165.635,167.9,167.9,321429,0.0,1.0
2019-06-13,165.82,168.075,165.5,166.65,166.65,576042,0.0,1.0
2019-06-12,167.95,168.49,165.25,165.45,165.45,548305,0.0,1.0
2019-06-11,168.8,170.41,166.72,167.76,167.76,575933,0.0,1.0
2019-06-10,166.96,168.97,166.37,167.6,167.6,413637,0.0,1.0
2019-06-07,166.6,166.6,164.8,165.76,165.76,447077,0.0,1.0
2019-06-06,165.93,167.62,165.25,166.89,166.89,401791,0.0,1.0
2019-06-05,167.35,167.39,164.7,166.36,166.36,546737,0.0,1.0
2019-06-04,164.16,167.29,164.11,167.26,167.26,793832,0.0,1.0
2019-06-03,159.18,162.8,158.62,162.31,162.31,698577,0.0,1.0
2019-05-31,159.75,161.06,158.75,159.6,159.6,991556,1.0,1.0
2019-05-30,165.03,165.73,160.9,162.18,161.1702,725244,0.0,1.0
2019-05-29,161.44,165.23,161.29,164.75,163.7242,859256,0.0,1.0
2019-05-28,164.24,165.22,162.23,162.23,161.2199,827830,0.0,1.0
2019-05-24,163.17,165.43,162.79,164.92,163.8931,554659,0.0,1.0
2019-05-23,164.28,164.28,161.66,162.75,161.7366,704689,0.0,1.0
