timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-15,10.54,10.571,10.43,10.55,10.55,700847,0.0,1.0
2019-07-12,10.45,10.61,10.37,10.52,10.52,4175506,0.0,1.0
2019-07-11,10.42,10.44,10.17,10.32,10.32,5611935,0.0,1.0
2019-07-10,10.23,10.27,10.12,10.21,10.21,3279062,0.0,1.0
2019-07-09,10.07,10.21,10.03,10.21,10.21,3418473,0.0,1.0
2019-07-08,10.19,10.21,10.025,10.15,10.15,4190375,0.0,1.0
2019-07-05,10.26,10.305,10.11,10.21,10.21,3630892,0.0,1.0
2019-07-03,10.1,10.24,10.1,10.24,10.24,2846841,0.0,1.0
2019-07-02,10.08,10.15,9.9648,10.1,10.1,5166923,0.0,1.0
2019-07-01,10.04,10.115,9.95,10.11,10.11,3591762,0.0,1.0
2019-06-28,9.9,10.02,9.877,9.98,9.98,4684887,0.0,1.0
2019-06-27,9.79,9.88,9.74,9.84,9.84,2566320,0.0,1.0
2019-06-26,9.83,9.89,9.73,9.75,9.75,6211033,0.0,1.0
2019-06-25,9.63,9.875,9.54,9.8,9.8,7586123,0.0,1.0
2019-06-24,9.59,9.73,9.54,9.6,9.6,4004933,0.0,1.0
2019-06-21,9.49,9.68,9.47,9.57,9.57,6450937,0.0,1.0
2019-06-20,9.66,9.66,9.42,9.54,9.54,7963661,0.0,1.0
2019-06-19,9.59,9.66,9.5,9.59,9.59,5288904,0.0,1.0
2019-06-18,9.62,9.85,9.525,9.56,9.56,5653992,0.0,1.0
2019-06-17,9.61,9.795,9.58,9.62,9.62,3951710,0.0,1.0
2019-06-14,9.62,9.75,9.38,9.64,9.64,5609200,0.0,1.0
2019-06-13,9.72,9.82,9.41,9.65,9.65,12944985,0.0,1.0
2019-06-12,10.29,10.35,9.68,9.75,9.75,15157745,0.0,1.0
2019-06-11,10.19,10.495,10.19,10.38,10.38,5493598,0.0,1.0
2019-06-10,10.19,10.25,10.1,10.17,10.17,2923132,0.0,1.0
2019-06-07,10.17,10.18,10.06,10.1,10.1,3576219,0.0,1.0
2019-06-06,10.29,10.31,10.025,10.19,10.19,5753264,0.0,1.0
2019-06-05,10.21,10.35,10.14,10.28,10.28,3792160,0.0,1.0
2019-06-04,10.22,10.325,10.145,10.24,10.24,4644573,0.0,1.0
2019-06-03,9.91,10.15,9.87,10.12,10.12,5339689,0.0,1.0
2019-05-31,9.79,10.05,9.74,9.93,9.93,5568331,0.0,1.0
2019-05-30,10.33,10.34,9.86,9.93,9.93,6156683,0.0,1.0
2019-05-29,10.0,10.325,9.935,10.29,10.29,6190271,0.0,1.0
2019-05-28,10.17,10.17,10.0,10.02,10.02,3449664,0.0,1.0
2019-05-24,10.19,10.285,10.16,10.18,10.18,2408461,0.0,1.0
2019-05-23,10.16,10.27,10.07,10.17,10.17,5475154,0.0,1.0
2019-05-22,10.36,10.385,10.17,10.24,10.24,4162024,0.0,1.0
