timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-15,24.71,24.8,24.41,24.45,24.45,26185,0.0,1.0
2019-07-12,24.62,24.86,24.46,24.71,24.71,127942,0.0,1.0
2019-07-11,24.47,24.54,24.3,24.52,24.52,181427,0.0,1.0
2019-07-10,24.46,24.67,24.35,24.4,24.4,117505,0.0,1.0
2019-07-09,24.41,24.58,24.16,24.42,24.42,183125,0.0,1.0
2019-07-08,24.56,24.67,24.28,24.46,24.46,104621,0.0,1.0
2019-07-05,24.32,24.68,24.32,24.67,24.67,135011,0.0,1.0
2019-07-03,24.14,24.32,24.08,24.27,24.27,44933,0.0,1.0
2019-07-02,24.31,24.35,23.86,24.05,24.05,93245,0.0,1.0
2019-07-01,24.46,24.46,24.15,24.39,24.39,159840,0.0,1.0
2019-06-28,24.25,24.4,24.14,24.25,24.25,494293,0.0,1.0
2019-06-27,23.79,24.17,23.76,24.17,24.17,172510,0.0,1.0
2019-06-26,23.76,23.94,23.7,23.74,23.74,173705,0.0,1.0
2019-06-25,23.53,23.95,23.46,23.69,23.69,168773,0.0,1.0
2019-06-24,23.45,23.7,23.45,23.52,23.52,321783,0.0,1.0
2019-06-21,23.47,23.83,23.4,23.47,23.47,549223,0.0,1.0
2019-06-20,23.89,23.89,23.57,23.64,23.64,127937,0.0,1.0
2019-06-19,23.82,23.92,23.64,23.78,23.78,178723,0.0,1.0
2019-06-18,23.78,24.06,23.62,23.79,23.79,150002,0.0,1.0
2019-06-17,23.64,23.75,23.57,23.67,23.67,198429,0.0,1.0
2019-06-14,23.76,23.82,23.5,23.62,23.62,153757,0.0,1.0
2019-06-13,23.92,24.09,23.52,23.79,23.79,168943,0.0,1.0
2019-06-12,24.14,24.18,23.82,23.82,23.82,92070,0.0,1.0
2019-06-11,24.19,24.3227,23.9,24.13,24.13,133238,0.0,1.0
2019-06-10,23.98,24.2,23.94,24.1,24.1,132045,0.0,1.0
2019-06-07,24.0,24.09,23.83,23.9,23.9,124010,0.0,1.0
2019-06-06,24.22,24.31,23.8,24.13,24.13,92386,0.0,1.0
2019-06-05,24.25,24.39,24.0,24.17,24.17,136652,0.0,1.0
2019-06-04,24.08,24.33,23.99,24.32,24.32,146147,0.0,1.0
2019-06-03,23.81,23.99,23.605,23.85,23.85,176247,0.0,1.0
2019-05-31,23.84,23.92,23.71,23.84,23.84,152344,0.0,1.0
2019-05-30,24.41,24.45,23.81,24.0,24.0,94658,0.0,1.0
2019-05-29,24.13,24.44,24.1,24.34,24.34,209253,0.0,1.0
2019-05-28,24.33,24.405,24.21,24.28,24.28,139883,0.0,1.0
2019-05-24,24.17,24.43,24.15,24.37,24.37,101830,0.0,1.0
2019-05-23,24.43,24.56,23.75,24.05,24.05,208983,0.0,1.0
2019-05-22,24.91,24.92,24.6,24.62,24.62,106265,0.0,1.0
2019-05-21,25.13,25.13,24.9,25.0,25.0,138480,0.0,1.0
2019-05-20,24.8,25.27,24.8,25.03,25.03,111451,0.0,1.0
2019-05-17,25.12,25.43,24.86,24.89,24.89,178158,0.0,1.0
2019-05-16,25.2,25.45,25.15,25.32,25.32,129670,0.0,1.0
2019-05-15,25.11,25.17,24.86,25.12,25.12,90721,0.0,1.0
2019-05-14,25.35,25.56,25.24,25.41,25.41,112111,0.23,1.0
2019-05-13,25.67,25.85,25.5,25.61,25.3803,171803,0.0,1.0
2019-05-10,26.01,26.1,25.75,26.05,25.8163,140143,0.0,1.0
2019-05-09,25.81,26.13,25.71,26.02,25.7866,115797,0.0,1.0
2019-05-08,26.25,26.36,25.89,25.93,25.6974,145604,0.0,1.0
2019-05-07,26.56,26.56,26.025,26.25,26.0145,153389,0.0,1.0
2019-05-06,26.27,26.78,26.1,26.77,26.5299,176659,0.0,1.0
2019-05-03,26.46,26.71,26.31,26.58,26.3416,177236,0.0,1.0
2019-05-02,26.18,26.63,26.14,26.38,26.1434,163431,0.0,1.0
2019-05-01,26.56,26.705,26.04,26.22,25.9848,550394,0.0,1.0
2019-04-30,27.04,27.04,26.4,26.52,26.2821,339320,0.0,1.0
2019-04-29,27.28,27.47,26.89,26.95,26.7082,214875,0.0,1.0
2019-04-26,26.77,27.57,26.22,27.38,27.1344,219683,0.0,1.0
2019-04-25,26.84,27.01,26.48,26.78,26.5398,134149,0.0,1.0
2019-04-24,26.9,27.24,26.76,27.07,26.8272,94885,0.0,1.0
2019-04-23,26.41,27.06,26.36,26.93,26.6884,111750,0.0,1.0
2019-04-22,26.94,27.03,26.4,26.47,26.2326,144686,0.0,1.0
2019-04-18,27.1,27.24,26.9,27.02,26.7776,100120,0.0,1.0
2019-04-17,27.26,27.32,26.93,27.22,26.9758,121453,0.0,1.0
2019-04-16,26.87,27.235,26.84,27.23,26.9857,107881,0.0,1.0
2019-04-15,27.22,27.22,26.74,26.84,26.5992,88773,0.0,1.0
2019-04-12,27.13,27.19,26.84,27.15,26.9065,130345,0.0,1.0
2019-04-11,26.89,26.98,26.715,26.92,26.6785,73987,0.0,1.0
2019-04-10,26.31,26.87,26.2,26.82,26.5794,216507,0.0,1.0
2019-04-09,26.43,26.57,26.16,26.24,26.0046,110051,0.0,1.0
2019-04-08,26.53,26.68,26.33,26.49,26.2524,152405,0.0,1.0
2019-04-05,26.58,26.72,26.36,26.68,26.4407,100966,0.0,1.0
2019-04-04,26.11,26.51,25.95,26.46,26.2226,103241,0.0,1.0
2019-04-03,26.49,26.49,26.04,26.1,25.8659,130099,0.0,1.0
2019-04-02,26.32,26.37,26.05,26.24,26.0046,125543,0.0,1.0
2019-04-01,26.04,26.39,25.985,26.33,26.0938,218678,0.0,1.0
2019-03-29,26.36,26.37,25.74,25.89,25.6578,204196,0.0,1.0
2019-03-28,25.98,26.15,25.74,26.11,25.8758,117140,0.0,1.0
2019-03-27,25.82,26.1,25.58,25.95,25.7172,145359,0.0,1.0
2019-03-26,25.61,26.02,25.58,26.0,25.7668,133012,0.0,1.0
2019-03-25,25.16,25.6,25.16,25.46,25.2316,252646,0.0,1.0
2019-03-22,25.92,25.975,25.15,25.24,25.0136,187486,0.0,1.0
2019-03-21,25.92,26.51,25.89,26.05,25.8163,192705,0.0,1.0
2019-03-20,26.24,26.58,25.995,26.09,25.856,178149,0.0,1.0
2019-03-19,26.87,26.88,26.26,26.27,26.0343,165624,0.0,1.0
2019-03-18,26.79,27.0,26.63,26.81,26.5695,188803,0.0,1.0
2019-03-15,26.76,27.02,26.55,26.61,26.3713,508577,0.0,1.0
2019-03-14,26.87,27.005,26.69,26.75,26.51,113975,0.0,1.0
