timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-15,142.57,142.6,141.0,141.49,141.49,471063,0.0,1.0
2019-07-12,142.09,142.48,140.57,142.19,142.19,1569224,0.0,1.0
2019-07-11,140.52,142.07,140.13,141.46,141.46,1505694,0.0,1.0
2019-07-10,140.89,141.79,139.88,140.05,140.05,1466448,0.0,1.0
2019-07-09,139.91,141.6,139.461,140.79,140.79,1838385,0.0,1.0
2019-07-08,140.61,141.45,140.19,140.74,140.74,1568619,0.0,1.0
2019-07-05,141.4,143.085,141.17,141.57,141.57,1281029,0.0,1.0
2019-07-03,140.0,140.77,139.21,140.67,140.67,892420,0.0,1.0
2019-07-02,139.27,140.4,138.59,139.59,139.59,1828238,0.0,1.0
2019-07-01,138.38,139.93,138.21,139.8,139.8,2131972,0.0,1.0
2019-06-28,136.11,137.39,135.11,137.28,137.28,3171725,0.0,1.0
2019-06-27,133.99,135.88,133.76,134.66,134.66,1504289,0.0,1.0
2019-06-26,133.86,134.84,132.9079,133.64,133.64,1387522,0.0,1.0
2019-06-25,133.59,134.17,131.57,133.36,133.36,1446847,0.0,1.0
2019-06-24,132.41,134.58,132.26,133.67,133.67,1515295,0.0,1.0
2019-06-21,132.88,134.68,132.88,133.17,133.17,2480174,0.0,1.0
2019-06-20,133.56,133.775,130.055,132.9,132.9,2128648,0.0,1.0
2019-06-19,135.25,136.27,132.99,133.25,133.25,1521800,0.0,1.0
2019-06-18,132.46,135.45,131.565,134.43,134.43,1781087,0.0,1.0
2019-06-17,135.21,136.18,132.31,132.54,132.54,1710367,0.0,1.0
2019-06-14,134.07,135.75,133.43,135.21,135.21,1757888,0.0,1.0
2019-06-13,134.36,135.17,132.89,133.73,133.73,2019474,0.0,1.0
2019-06-12,135.09,135.75,133.68,134.1,134.1,1172941,0.0,1.0
2019-06-11,134.78,136.35,134.24,135.18,135.18,1248734,0.0,1.0
2019-06-10,134.33,135.635,133.88,134.38,134.38,1015481,0.0,1.0
2019-06-07,133.35,133.85,132.31,132.88,132.88,1619817,0.0,1.0
2019-06-06,133.89,134.58,132.99,133.75,133.75,1250982,0.0,1.0
2019-06-05,133.41,134.44,131.785,134.25,134.25,1620422,0.0,1.0
2019-06-04,130.79,133.47,130.44,133.4,133.4,1503241,0.0,1.0
2019-06-03,126.98,129.78,126.52,128.97,128.97,1711282,0.0,1.0
2019-05-31,127.38,128.32,126.34,127.26,127.26,1543064,0.0,1.0
2019-05-30,130.29,131.055,127.49,128.61,128.61,1185438,0.0,1.0
2019-05-29,128.7,130.12,127.99,130.03,130.03,1640365,0.0,1.0
2019-05-28,131.74,132.335,129.64,129.64,129.64,1944887,0.0,1.0
2019-05-24,130.34,132.38,130.24,131.97,131.97,1162324,0.0,1.0
2019-05-23,130.99,130.99,128.985,129.97,129.97,2026791,0.0,1.0
2019-05-22,131.61,132.37,130.897,132.02,132.02,1166387,0.0,1.0
2019-05-21,131.12,132.39,131.04,132.08,132.08,988717,0.0,1.0
2019-05-20,130.22,132.08,130.09,131.34,131.34,1153236,0.0,1.0
2019-05-17,129.46,132.2,129.42,130.22,130.22,1351552,0.0,1.0
2019-05-16,129.61,131.71,129.28,131.1,131.1,1508876,0.0,1.0
2019-05-15,128.84,130.42,127.59,128.68,128.68,1609208,0.0,1.0
2019-05-14,128.21,131.08,128.01,129.76,129.76,1088457,0.0,1.0
2019-05-13,130.04,131.09,128.14,128.45,128.45,2367454,0.0,1.0
2019-05-10,131.41,133.02,129.55,132.44,132.44,1354348,0.0,1.0
2019-05-09,130.03,132.22,129.47,131.94,131.94,1504079,0.0,1.0
2019-05-08,132.47,132.93,131.79,131.99,131.99,1694240,0.0,1.0
2019-05-07,134.78,134.83,132.26,132.95,132.95,1821521,0.0,1.0
2019-05-06,135.35,136.95,134.14,136.27,136.27,1314036,0.0,1.0
2019-05-03,135.99,137.47,135.7,137.1,137.1,1055223,0.0,1.0
2019-05-02,135.54,136.72,135.4,135.94,135.94,1235942,0.0,1.0
2019-05-01,136.72,138.04,134.88,135.21,135.21,1264576,0.0,1.0
2019-04-30,136.93,137.42,135.67,136.93,136.93,1432354,0.0,1.0
2019-04-29,136.8,138.0842,136.18,137.01,137.01,1151875,0.0,1.0
2019-04-26,134.01,136.1,134.01,136.09,136.09,1337076,0.0,1.0
2019-04-25,133.33,135.27,133.0438,134.24,134.24,1335686,0.0,1.0
2019-04-24,133.85,134.74,132.8555,134.17,134.17,1681445,0.0,1.0
2019-04-23,133.41,134.74,131.72,134.2,134.2,3319037,0.0,1.0
2019-04-22,133.28,134.35,132.4829,133.89,133.89,1469835,0.0,1.0
2019-04-18,133.75,134.41,132.76,133.19,133.19,2392438,0.0,1.0
2019-04-17,133.37,134.52,132.3074,133.87,133.87,1752320,0.0,1.0
2019-04-16,131.49,134.03,131.49,133.15,133.15,2375362,0.0,1.0
2019-04-15,131.98,132.41,130.5,131.06,131.06,2006084,0.95,1.0
2019-04-12,129.44,133.57,129.18,132.7,131.745,4293606,0.0,1.0
2019-04-11,128.0,128.91,127.5,128.72,127.7937,2051695,0.0,1.0
2019-04-10,126.57,127.53,125.7775,127.29,126.374,1806346,0.0,1.0
2019-04-09,127.36,127.69,126.22,126.8,125.8875,1572833,0.0,1.0
2019-04-08,127.91,128.55,127.34,128.24,127.3171,1460689,0.0,1.0
2019-04-05,128.49,129.25,127.36,127.91,126.9895,1331912,0.0,1.0
2019-04-04,126.8,129.23,126.8,128.42,127.4958,1639744,0.0,1.0
2019-04-03,127.99,129.24,126.09,126.81,125.8974,2081384,0.0,1.0
2019-04-02,126.55,128.03,126.16,126.76,125.8478,1698226,0.0,1.0
2019-04-01,123.98,127.17,123.84,126.91,125.9967,1836991,0.0,1.0
2019-03-29,123.91,124.0,122.17,122.66,121.7773,1951214,0.0,1.0
2019-03-28,121.63,122.96,120.96,122.86,121.9758,1619157,0.0,1.0
2019-03-27,121.29,121.93,120.38,121.27,120.3973,1773231,0.0,1.0
2019-03-26,120.27,121.72,119.62,121.46,120.5859,1976888,0.0,1.0
2019-03-25,119.49,120.9,118.78,119.18,118.3223,2118508,0.0,1.0
2019-03-22,121.5,122.195,118.7,119.18,118.3223,3464484,0.0,1.0
2019-03-21,124.77,124.88,122.79,122.9,122.0156,2804141,0.0,1.0
2019-03-20,129.4,129.82,125.36,125.46,124.5571,2991805,0.0,1.0
2019-03-19,132.5,132.5,129.13,129.48,128.5482,2285265,0.0,1.0
2019-03-18,130.44,132.3921,130.13,131.88,130.9309,1912992,0.0,1.0
