timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-15,15.28,15.28,14.97,15.065,15.065,1758586,0.0,1.0
2019-07-12,15.24,15.29,15.08,15.22,15.22,8218293,0.0,1.0
2019-07-11,15.04,15.28,14.945,15.23,15.23,11461975,0.0,1.0
2019-07-10,15.31,15.33,15.02,15.06,15.06,9594869,0.0,1.0
2019-07-09,15.02,15.34,14.97,15.31,15.31,8772789,0.0,1.0
2019-07-08,15.07,15.225,15.04,15.13,15.13,7110683,0.0,1.0
2019-07-05,15.21,15.445,15.17,15.21,15.21,6919753,0.0,1.0
2019-07-03,14.94,15.08,14.86,15.07,15.07,4881124,0.0,1.0
2019-07-02,15.06,15.22,14.755,14.86,14.86,13825981,0.0,1.0
2019-07-01,15.03,15.26,14.95,15.07,15.07,10055529,0.0,1.0
2019-06-28,14.85,15.0,14.53,14.94,14.94,14479648,0.0,1.0
2019-06-27,14.5,14.66,14.49,14.58,14.58,6418051,0.0,1.0
2019-06-26,14.46,14.63,14.41,14.43,14.43,10209890,0.0,1.0
2019-06-25,14.54,14.54,14.26,14.39,14.39,13636157,0.0,1.0
2019-06-24,14.59,14.785,14.49,14.51,14.51,7547559,0.0,1.0
2019-06-21,14.55,14.85,14.55,14.63,14.63,14843011,0.0,1.0
2019-06-20,14.63,14.65,14.2,14.6,14.6,12600018,0.0,1.0
2019-06-19,14.96,15.12,14.51,14.57,14.57,12878941,0.0,1.0
2019-06-18,14.3,14.88,14.24,14.87,14.87,12792867,0.0,1.0
2019-06-17,14.59,14.675,14.31,14.34,14.34,6571789,0.0,1.0
2019-06-14,14.51,14.64,14.28,14.59,14.59,8641145,0.0,1.0
2019-06-13,14.31,14.59,14.31,14.49,14.49,8375347,0.0,1.0
2019-06-12,14.42,14.53,14.18,14.24,14.24,11328266,0.0,1.0
2019-06-11,14.17,14.62,14.12,14.47,14.47,19846532,0.0,1.0
2019-06-10,14.07,14.28,13.97,13.99,13.99,18697834,0.0,1.0
2019-06-07,13.97,14.0,13.76,13.88,13.88,10667585,0.0,1.0
2019-06-06,14.02,14.13,13.87,14.04,14.04,7472262,0.14,1.0
2019-06-05,14.32,14.36,13.97,14.17,14.0301,11370984,0.0,1.0
2019-06-04,14.23,14.385,14.18,14.33,14.1885,13023795,0.0,1.0
2019-06-03,13.77,14.085,13.71,13.98,13.842,9541326,0.0,1.0
2019-05-31,13.8,13.96,13.7,13.83,13.6935,12063619,0.0,1.0
2019-05-30,14.23,14.305,13.92,14.06,13.9212,17110599,0.0,1.0
2019-05-29,13.82,14.205,13.75,14.15,14.0103,15942012,0.0,1.0
2019-05-28,14.11,14.18,13.93,13.94,13.8024,11569277,0.0,1.0
2019-05-24,14.14,14.25,14.05,14.19,14.0499,7565650,0.0,1.0
2019-05-23,14.23,14.27,13.95,14.07,13.9311,9739731,0.0,1.0
2019-05-22,14.42,14.51,14.3,14.41,14.2677,6737864,0.0,1.0
2019-05-21,14.54,14.65,14.5,14.56,14.4162,9834246,0.0,1.0
2019-05-20,14.37,14.58,14.36,14.47,14.3271,6674896,0.0,1.0
2019-05-17,14.34,14.66,14.335,14.4,14.2578,7831255,0.0,1.0
2019-05-16,14.5,14.69,14.44,14.52,14.3766,8463429,0.0,1.0
2019-05-15,14.33,14.42,14.0571,14.32,14.1786,9969817,0.0,1.0
2019-05-14,14.4,14.66,14.28,14.54,14.3964,12432299,0.0,1.0
2019-05-13,14.81,14.81,14.32,14.34,14.1984,12062551,0.0,1.0
2019-05-10,14.84,15.09,14.715,15.05,14.9014,10096546,0.0,1.0
2019-05-09,14.72,15.01,14.655,14.93,14.7826,11748951,0.0,1.0
2019-05-08,15.05,15.125,14.93,14.95,14.8024,10188241,0.0,1.0
2019-05-07,15.22,15.25,15.02,15.11,14.9608,9399746,0.0,1.0
2019-05-06,15.22,15.535,15.185,15.39,15.2381,9871482,0.0,1.0
2019-05-03,15.48,15.65,15.405,15.58,15.4262,9322936,0.0,1.0
2019-05-02,15.2,15.5,15.17,15.43,15.2777,12809168,0.0,1.0
2019-05-01,15.57,15.69,15.105,15.17,15.0202,17403755,0.0,1.0
2019-04-30,15.73,15.78,15.41,15.53,15.3767,11317494,0.0,1.0
2019-04-29,15.64,15.905,15.61,15.68,15.5252,8853146,0.0,1.0
