timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-15,64.84,64.83,64.19,64.43,64.43,384964,0.0,1.0
2019-07-12,64.81,65.04,64.64,64.81,64.81,3487609,0.0,1.0
2019-07-11,64.19,64.9,63.79,64.7,64.7,1558875,0.0,1.0
2019-07-10,64.41,64.41,63.84,64.02,64.02,4067915,0.0,1.0
2019-07-09,63.51,64.55,63.06,64.37,64.37,3297217,0.0,1.0
2019-07-08,63.51,63.59,63.12,63.53,63.53,2370605,0.0,1.0
2019-07-05,63.26,64.02,63.26,63.96,63.96,1821190,0.0,1.0
2019-07-03,62.97,63.12,62.58,62.81,62.81,1653040,0.0,1.0
2019-07-02,63.28,63.63,62.335,62.49,62.49,1734508,0.0,1.0
2019-07-01,63.42,63.9,63.05,63.53,63.53,1647061,0.0,1.0
2019-06-28,62.15,62.99,61.96,62.85,62.85,5761411,0.0,1.0
2019-06-27,61.54,61.99,60.92,61.51,61.51,4151356,0.0,1.0
2019-06-26,62.01,62.52,61.56,61.58,61.58,3630924,0.0,1.0
2019-06-25,62.16,62.31,61.29,61.86,61.86,2926542,0.0,1.0
2019-06-24,62.39,63.11,61.87,62.21,62.21,1960528,0.0,1.0
2019-06-21,62.64,63.29,62.33,62.33,62.33,3366055,0.0,1.0
2019-06-20,63.41,63.49,61.6,62.57,62.57,2580628,0.0,1.0
2019-06-19,63.52,64.6,62.99,63.1,63.1,2063819,0.0,1.0
2019-06-18,62.97,63.87,62.63,63.38,63.38,1629058,0.0,1.0
2019-06-17,64.63,64.93,62.95,63.1,63.1,1450680,0.0,1.0
2019-06-14,64.25,64.69,63.61,64.57,64.57,2147784,0.0,1.0
2019-06-13,64.04,64.64,63.91,64.07,64.07,3030781,0.0,1.0
2019-06-12,64.23,64.65,63.53,63.84,63.84,1604828,0.0,1.0
2019-06-11,64.12,64.66,63.8,64.19,64.19,892785,0.0,1.0
2019-06-10,63.37,64.12,63.11,63.72,63.72,1308026,0.0,1.0
2019-06-07,63.4,63.4,62.4,62.67,62.67,1333813,0.0,1.0
2019-06-06,63.5,63.57,62.94,63.36,63.36,2489852,0.0,1.0
2019-06-05,62.83,63.74,62.18,63.53,63.53,3001398,0.0,1.0
2019-06-04,61.31,62.84,61.08,62.81,62.81,3751142,0.0,1.0
2019-06-03,60.02,60.75,59.79,60.47,60.47,2384172,0.0,1.0
2019-05-31,59.81,60.26,59.56,60.01,60.01,3241577,0.0,1.0
2019-05-30,61.07,61.42,59.945,60.5,60.5,1894344,0.5,1.0
2019-05-29,60.71,61.455,60.42,61.38,60.8769,1668635,0.0,1.0
2019-05-28,62.15,62.43,61.16,61.16,60.6587,2593437,0.0,1.0
2019-05-24,62.25,62.47,62.02,62.35,61.8389,1736542,0.0,1.0
2019-05-23,62.53,62.71,61.675,62.03,61.5216,1582333,0.0,1.0
2019-05-22,62.49,63.38,62.41,63.12,62.6026,2161060,0.0,1.0
2019-05-21,62.62,63.04,62.5671,62.93,62.4142,1928246,0.0,1.0
2019-05-20,61.63,62.67,61.63,62.36,61.8489,2520403,0.0,1.0
2019-05-17,61.58,62.76,61.56,61.92,61.4125,1102780,0.0,1.0
2019-05-16,61.57,62.56,61.57,62.18,61.6703,1390388,0.0,1.0
2019-05-15,61.56,61.81,60.51,61.42,60.9166,1635557,0.0,1.0
2019-05-14,61.83,62.79,61.75,62.02,61.5116,2100686,0.0,1.0
2019-05-13,62.71,62.99,61.69,61.8,61.2934,2819247,0.0,1.0
2019-05-10,62.91,64.08,62.44,63.84,63.3167,2411787,0.0,1.0
2019-05-09,62.36,63.515,62.21,63.4,62.8803,1746925,0.0,1.0
2019-05-08,63.58,63.91,63.05,63.09,62.5729,1680670,0.0,1.0
2019-05-07,64.13,64.39,63.31,63.87,63.3465,2605953,0.0,1.0
2019-05-06,64.39,65.39,64.05,65.04,64.5069,1921082,0.0,1.0
2019-05-03,64.97,65.41,64.84,65.35,64.8143,2101607,0.0,1.0
2019-05-02,64.88,65.43,64.36,64.73,64.1994,2068616,0.0,1.0
2019-05-01,65.38,65.86,64.67,64.81,64.2788,2286242,0.0,1.0
2019-04-30,65.81,65.93,64.97,65.48,64.9433,2183326,0.0,1.0
2019-04-29,65.0,66.2707,64.9,65.84,65.3003,1768446,0.0,1.0
2019-04-26,64.32,64.98,64.14,64.96,64.4275,2173544,0.0,1.0
2019-04-25,63.42,64.72,63.35,64.27,63.7432,1664294,0.0,1.0
2019-04-24,63.38,64.015,62.92,63.82,63.2969,1540987,0.0,1.0
2019-04-23,63.24,63.75,62.6,63.54,63.0192,3800521,0.0,1.0
2019-04-22,63.31,63.69,62.72,63.35,62.8307,2743873,0.0,1.0
2019-04-18,63.48,64.18,61.78,63.49,62.9696,4269173,0.0,1.0
2019-04-17,63.65,64.02,62.88,63.77,63.2473,2823929,0.0,1.0
2019-04-16,62.15,63.375,61.95,63.29,62.7712,1686645,0.0,1.0
2019-04-15,62.73,63.0,61.91,62.12,61.6108,2006177,0.0,1.0
2019-04-12,62.79,63.58,62.02,62.87,62.3547,2675238,0.0,1.0
2019-04-11,61.85,62.43,61.62,61.98,61.472,1593697,0.0,1.0
2019-04-10,61.11,61.59,60.6,61.56,61.0554,1693071,0.0,1.0
2019-04-09,61.46,61.75,60.81,61.07,60.5694,2427877,0.0,1.0
2019-04-08,61.44,62.03,61.28,61.91,61.4025,2201243,0.0,1.0
2019-04-05,61.66,62.135,61.24,61.65,61.1447,3178525,0.0,1.0
2019-04-04,61.38,62.1,61.32,61.74,61.2339,4380369,0.0,1.0
2019-04-03,62.43,63.0,61.51,61.72,61.2141,5374010,0.0,1.0
2019-04-02,61.01,62.475,60.83,61.86,61.353,3908005,0.0,1.0
2019-04-01,59.82,61.37,59.79,61.24,60.738,2942537,0.0,1.0
2019-03-29,59.62,59.89,58.95,59.25,58.7643,4065433,0.0,1.0
2019-03-28,58.17,59.07,57.88,58.99,58.5065,3849627,0.0,1.0
2019-03-27,57.51,58.21,57.14,57.87,57.3957,2973492,0.0,1.0
2019-03-26,57.55,58.39,57.0,57.71,57.237,3450628,0.0,1.0
2019-03-25,57.56,58.34,56.68,57.09,56.622,4828628,0.0,1.0
2019-03-22,59.53,59.71,57.34,57.4,56.9295,6834685,0.0,1.0
2019-03-21,60.89,60.92,60.0,60.17,59.6768,4791626,0.0,1.0
2019-03-20,62.99,63.12,61.29,61.3,60.7975,5853643,0.0,1.0
2019-03-19,64.89,64.96,63.05,63.07,62.553,3530582,0.0,1.0
2019-03-18,63.9,64.78,63.83,64.49,63.9614,3636152,0.0,1.0
