timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-15,21.63,21.6,21.34,21.395,21.395,265256,0.0,1.0
2019-07-12,21.4,21.66,21.23,21.57,21.57,1151338,0.0,1.0
2019-07-11,21.15,21.25,20.88,21.19,21.19,882341,0.0,1.0
2019-07-10,21.25,21.3267,21.0,21.09,21.09,958441,0.0,1.0
2019-07-09,21.05,21.38,20.96,21.31,21.31,1268916,0.0,1.0
2019-07-08,21.26,21.32,20.995,21.05,21.05,1226122,0.0,1.0
2019-07-05,21.28,21.54,21.21,21.43,21.43,1390782,0.0,1.0
2019-07-03,20.97,21.23,20.93,21.05,21.05,869304,0.0,1.0
2019-07-02,21.29,21.3712,20.81,20.92,20.92,1149736,0.0,1.0
2019-07-01,21.49,21.71,21.24,21.38,21.38,1250667,0.0,1.0
2019-06-28,21.18,21.48,21.07,21.28,21.28,2259170,0.0,1.0
2019-06-27,20.62,20.94,20.62,20.94,20.94,1251268,0.0,1.0
2019-06-26,20.4,20.59,20.28,20.55,20.55,2218661,0.0,1.0
2019-06-25,20.24,20.38,19.93,20.27,20.27,1839491,0.0,1.0
2019-06-24,20.51,20.64,20.25,20.27,20.27,1247643,0.0,1.0
2019-06-21,20.44,20.725,20.44,20.56,20.56,2509808,0.0,1.0
2019-06-20,20.51,20.56,20.07,20.52,20.52,1679691,0.0,1.0
2019-06-19,20.5,20.74,20.28,20.35,20.35,1652048,0.0,1.0
2019-06-18,20.0,20.6,19.95,20.39,20.39,1681274,0.0,1.0
2019-06-17,20.33,20.56,19.98,20.02,20.02,1726810,0.0,1.0
2019-06-14,20.38,20.475,20.06,20.35,20.35,950965,0.0,1.0
2019-06-13,20.43,20.65,20.325,20.38,20.38,1351886,0.0,1.0
2019-06-12,20.54,20.58,20.025,20.38,20.38,3329108,0.0,1.0
2019-06-11,20.7,20.82,20.4,20.56,20.56,1879927,0.0,1.0
2019-06-10,20.62,20.85,20.5,20.53,20.53,1968590,0.0,1.0
2019-06-07,20.38,20.59,20.33,20.42,20.42,1282400,0.0,1.0
2019-06-06,20.41,20.63,20.24,20.54,20.54,1284010,0.0,1.0
2019-06-05,20.44,20.59,20.16,20.48,20.48,2568673,0.0,1.0
2019-06-04,20.12,20.52,20.1,20.5,20.5,2869882,0.0,1.0
2019-06-03,19.25,19.95,19.25,19.8,19.8,3396785,0.0,1.0
2019-05-31,19.45,19.62,19.24,19.31,19.31,1837420,0.0,1.0
2019-05-30,20.41,20.58,19.57,19.74,19.74,2121058,0.0,1.0
2019-05-29,19.96,20.4,19.895,20.37,20.37,1882627,0.0,1.0
2019-05-28,20.45,20.55,20.2,20.21,20.21,1778942,0.0,1.0
2019-05-24,20.1,20.6,20.09,20.54,20.54,2763993,0.0,1.0
2019-05-23,20.23,20.23,19.9,20.0,20.0,2263182,0.0,1.0
2019-05-22,20.52,20.71,20.4,20.44,20.44,1780311,0.0,1.0
2019-05-21,20.67,20.87,20.58,20.6,20.6,2801757,0.0,1.0
2019-05-20,20.52,20.86,20.51,20.66,20.66,2933262,0.0,1.0
2019-05-17,20.6,21.1,20.6,20.64,20.64,2435004,0.0,1.0
2019-05-16,20.8,21.05,20.755,20.84,20.84,2782788,0.0,1.0
2019-05-15,20.67,20.85,20.39,20.62,20.62,2876861,0.0,1.0
2019-05-14,20.67,21.02,20.54,20.81,20.81,3391855,0.0,1.0
2019-05-13,21.09,21.09,20.51,20.58,20.58,2454133,0.0,1.0
2019-05-10,21.25,21.52,21.01,21.4,21.4,2128181,0.0,1.0
2019-05-09,21.06,21.45,20.93,21.34,21.34,2542685,0.0,1.0
2019-05-08,21.37,21.62,21.32,21.34,21.34,3195897,0.0,1.0
2019-05-07,21.51,21.7,21.35,21.5,21.5,3289115,0.0,1.0
2019-05-06,21.37,21.975,21.3,21.84,21.84,2310436,0.0,1.0
2019-05-03,21.66,21.92,21.56,21.83,21.83,1873558,0.07,1.0
2019-05-02,21.19,21.66,21.19,21.66,21.5908,2030736,0.0,1.0
2019-05-01,21.43,21.66,20.95,21.18,21.1123,1854336,0.0,1.0
2019-04-30,21.51,21.61,21.25,21.42,21.3515,1570524,0.0,1.0
2019-04-29,21.1,21.57,21.0,21.44,21.3715,2512354,0.0,1.0
2019-04-26,20.97,21.1,20.7,20.99,20.9229,2516774,0.0,1.0
2019-04-25,20.52,21.15,20.52,20.88,20.8133,3463164,0.0,1.0
2019-04-24,20.39,20.76,20.185,20.61,20.5441,3371343,0.0,1.0
2019-04-23,19.94,20.43,19.79,20.41,20.3448,2612201,0.0,1.0
2019-04-22,20.22,20.34,19.85,19.98,19.9161,1240182,0.0,1.0
