timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-15,21.17,21.19,20.71,20.81,20.81,145095,0.0,1.0
2019-07-12,21.03,21.235,20.93,21.14,21.14,1178651,0.0,1.0
2019-07-11,20.85,21.0,20.59,20.95,20.95,790268,0.0,1.0
2019-07-10,21.09,21.09,20.74,20.83,20.83,735024,0.0,1.0
2019-07-09,20.83,21.12,20.82,21.11,21.11,702390,0.0,1.0
2019-07-08,21.1,21.15,20.775,21.04,21.04,897884,0.0,1.0
2019-07-05,21.1,21.39,21.05,21.35,21.35,437256,0.0,1.0
2019-07-03,20.83,20.97,20.74,20.97,20.97,412806,0.0,1.0
2019-07-02,20.8,20.89,20.56,20.76,20.76,863371,0.0,1.0
2019-07-01,21.0,21.22,20.75,20.96,20.96,924370,0.0,1.0
2019-06-28,20.59,20.86,20.35,20.79,20.79,2129326,0.0,1.0
2019-06-27,20.29,20.65,20.29,20.41,20.41,1977130,0.0,1.0
2019-06-26,19.98,20.36,19.93,20.18,20.18,1332165,0.0,1.0
2019-06-25,19.7,19.94,19.46,19.85,19.85,1462735,0.0,1.0
2019-06-24,19.82,20.23,19.68,19.79,19.79,1079090,0.0,1.0
2019-06-21,19.86,20.08,19.79,19.87,19.87,1988333,0.0,1.0
2019-06-20,20.13,20.14,19.67,19.87,19.87,1028295,0.0,1.0
2019-06-19,20.34,20.57,19.93,19.93,19.93,993296,0.0,1.0
2019-06-18,19.93,20.46,19.79,20.22,20.22,1935343,0.0,1.0
2019-06-17,19.84,20.19,19.7,19.9,19.9,2495825,0.0,1.0
2019-06-14,19.66,19.95,19.4,19.85,19.85,1212585,0.0,1.0
2019-06-13,19.53,19.87,19.495,19.7,19.7,1184566,0.0,1.0
2019-06-12,19.59,19.67,19.29,19.47,19.47,1089023,0.0,1.0
2019-06-11,19.75,19.91,19.5,19.67,19.67,1143122,0.0,1.0
2019-06-10,19.72,19.97,19.57,19.6,19.6,886393,0.0,1.0
2019-06-07,19.53,19.59,19.31,19.51,19.51,877008,0.0,1.0
2019-06-06,19.77,19.86,19.36,19.63,19.63,1074565,0.0,1.0
2019-06-05,19.93,20.12,19.6,19.82,19.82,1045711,0.0,1.0
2019-06-04,19.66,20.12,19.47,20.08,20.08,2382744,0.0,1.0
2019-06-03,18.99,19.585,18.97,19.35,19.35,1886594,0.0,1.0
2019-05-31,19.14,19.31,18.98,19.06,19.06,1060135,0.0,1.0
2019-05-30,19.83,20.07,19.25,19.45,19.45,1146429,0.0,1.0
2019-05-29,19.66,19.92,19.515,19.83,19.83,1310870,0.0,1.0
2019-05-28,20.06,20.15,19.76,19.79,19.79,1077834,0.0,1.0
2019-05-24,20.19,20.22,19.95,20.16,20.16,1301600,0.0,1.0
