timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-15,45.2,45.2,43.91,44.13,44.13,127958,0.0,1.0
2019-07-12,44.04,45.17,43.77,45.12,45.12,798333,0.0,1.0
2019-07-11,43.9,44.23,43.5,43.94,43.94,745697,0.0,1.0
2019-07-10,44.06,44.08,43.2787,43.64,43.64,670288,0.0,1.0
2019-07-09,43.65,44.16,43.605,44.07,44.07,455446,0.0,1.0
2019-07-08,44.66,44.74,43.96,44.15,44.15,493567,0.0,1.0
2019-07-05,45.0,45.64,44.7,45.11,45.11,420690,0.0,1.0
2019-07-03,44.55,44.68,44.2,44.64,44.64,264800,0.0,1.0
2019-07-02,44.92,44.98,43.83,44.34,44.34,727359,0.0,1.0
2019-07-01,45.16,45.49,44.43,45.04,45.04,726881,0.0,1.0
2019-06-28,44.98,45.3,44.13,44.72,44.72,1760587,0.0,1.0
2019-06-27,43.56,44.47,43.56,44.41,44.41,734558,0.0,1.0
2019-06-26,43.56,43.84,43.18,43.67,43.67,501642,0.0,1.0
2019-06-25,42.93,43.51,42.44,43.25,43.25,605107,0.0,1.0
2019-06-24,43.22,43.64,42.66,42.95,42.95,450455,0.0,1.0
2019-06-21,43.0,43.67,42.96,43.23,43.23,654869,0.0,1.0
2019-06-20,43.3,43.48,42.19,43.08,43.08,687092,0.0,1.0
2019-06-19,44.1,44.54,43.05,43.12,43.12,651824,0.0,1.0
2019-06-18,43.31,44.34,43.06,43.83,43.83,747742,0.0,1.0
2019-06-17,43.63,43.96,43.33,43.46,43.46,722446,0.0,1.0
2019-06-14,43.36,43.73,42.69,43.64,43.64,551583,0.0,1.0
2019-06-13,43.34,43.8,43.19,43.36,43.36,499121,0.0,1.0
2019-06-12,43.7,43.81,42.95,43.16,43.16,656548,0.0,1.0
2019-06-11,44.2,44.46,43.55,43.69,43.69,402751,0.0,1.0
2019-06-10,44.22,44.64,43.79,43.91,43.91,546943,0.0,1.0
2019-06-07,44.01,44.07,43.59,43.75,43.75,476180,0.0,1.0
2019-06-06,44.49,44.58,43.68,44.35,44.35,708616,0.0,1.0
2019-06-05,44.16,44.8,43.63,44.4,44.4,1333939,0.0,1.0
2019-06-04,42.76,43.74,42.65,43.7,43.7,475818,0.0,1.0
2019-06-03,41.12,42.37,41.04,42.07,42.07,1175057,0.0,1.0
2019-05-31,41.75,41.95,40.99,41.15,41.15,1007238,0.0,1.0
2019-05-30,43.73,43.81,41.97,42.43,42.43,396754,0.0,1.0
2019-05-29,42.97,43.75,42.55,43.63,43.63,413275,0.0,1.0
2019-05-28,43.72,44.06,43.28,43.5,43.5,763923,0.0,1.0
2019-05-24,43.64,44.18,43.64,43.99,43.99,623567,0.0,1.0
2019-05-23,43.77,43.8,43.0,43.38,43.38,670422,0.0,1.0
2019-05-22,44.94,45.1003,44.0,44.22,44.22,505614,0.0,1.0
2019-05-21,45.13,45.57,45.11,45.25,45.25,873706,0.0,1.0
2019-05-20,44.4,45.15,44.1,44.9,44.9,339446,0.0,1.0
2019-05-17,44.57,45.5,44.47,44.56,44.56,407558,0.0,1.0
2019-05-16,44.9,45.61,44.9,45.1,45.1,405619,0.0,1.0
2019-05-15,44.99,44.99,44.0201,44.69,44.69,409411,0.0,1.0
2019-05-14,45.03,45.91,44.6,45.49,45.49,1194052,0.0,1.0
2019-05-13,46.56,46.71,44.68,44.96,44.96,581294,0.0,1.0
2019-05-10,47.01,47.78,46.65,47.63,47.63,537154,0.0,1.0
2019-05-09,46.37,47.45,46.12,47.27,47.27,669980,0.0,1.0
2019-05-08,47.51,47.76,47.01,47.03,47.03,333643,0.0,1.0
2019-05-07,47.94,48.256,47.3,47.68,47.68,684099,0.0,1.0
2019-05-06,47.93,48.86,47.67,48.64,48.64,822175,0.0,1.0
2019-05-03,48.14,49.125,47.995,49.05,49.05,733352,0.0,1.0
2019-05-02,47.34,48.3,47.3,48.03,48.03,647124,0.0,1.0
2019-05-01,47.77,48.23,46.97,47.29,47.29,763496,0.0,1.0
2019-04-30,48.71,48.71,47.63,47.78,47.78,840986,0.0,1.0
2019-04-29,47.78,48.8,47.78,48.53,48.53,785913,0.0,1.0
2019-04-26,47.05,47.93,46.9401,47.8,47.8,603692,0.0,1.0
2019-04-25,47.1,47.6,46.865,47.2,47.2,669926,0.0,1.0
2019-04-24,47.47,47.68,46.17,47.24,47.24,1132662,0.0,1.0
2019-04-23,44.92,47.22,44.36,46.99,46.99,2819888,0.0,1.0
2019-04-22,44.08,44.29,43.23,43.37,43.37,1370051,0.0,1.0
2019-04-18,45.0,45.08,44.1,44.3,44.3,918896,0.0,1.0
2019-04-17,45.0,45.28,44.345,45.19,45.19,731021,0.0,1.0
2019-04-16,44.2,44.94,43.88,44.92,44.92,902050,0.0,1.0
2019-04-15,44.84,44.93,43.83,44.08,44.08,603039,0.0,1.0
2019-04-12,44.42,45.08,43.95,44.86,44.86,917442,0.0,1.0
2019-04-11,43.56,44.0,43.26,43.69,43.69,945304,0.0,1.0
2019-04-10,43.09,43.44,42.6,43.32,43.32,748921,0.0,1.0
2019-04-09,43.75,43.76,43.06,43.12,43.12,683709,0.0,1.0
2019-04-08,43.71,44.16,43.605,44.02,44.02,483818,0.0,1.0
2019-04-05,43.72,44.08,43.46,43.86,43.86,592287,0.0,1.0
2019-04-04,43.0,43.93,43.0,43.63,43.63,645044,0.0,1.0
2019-04-03,42.99,43.4,42.84,43.09,43.09,1120302,0.0,1.0
2019-04-02,42.05,42.65,42.01,42.42,42.42,1623323,0.0,1.0
2019-04-01,41.85,42.37,41.37,42.27,42.27,1570340,0.0,1.0
2019-03-29,41.73,41.73,40.75,41.04,41.04,1072202,0.0,1.0
2019-03-28,40.51,41.32,40.26,41.28,41.28,828832,0.0,1.0
2019-03-27,40.4,41.16,40.06,40.7,40.7,1417942,0.0,1.0
2019-03-26,39.72,40.9,39.43,40.87,40.87,1382327,0.0,1.0
2019-03-25,39.28,40.24,38.73,39.36,39.36,1794162,0.0,1.0
2019-03-22,40.69,40.74,38.55,39.07,39.07,2015802,0.0,1.0
2019-03-21,41.93,42.02,41.11,41.3,41.3,1500454,0.0,1.0
2019-03-20,44.32,44.74,42.22,42.27,42.27,1090218,0.0,1.0
2019-03-19,45.97,45.97,44.36,44.48,44.48,728847,0.0,1.0
2019-03-18,44.77,45.69,44.77,45.58,45.58,717143,0.0,1.0
2019-03-15,44.61,45.09,44.48,44.8,44.8,690271,0.0,1.0
2019-03-14,44.65,44.82,44.39,44.55,44.55,311349,0.0,1.0
2019-03-13,44.53,44.79,44.22,44.56,44.56,612837,0.0,1.0
2019-03-12,44.16,44.51,43.77,44.29,44.29,696437,0.0,1.0
2019-03-11,44.22,44.38,43.99,44.19,44.19,613721,0.0,1.0
